Station_ID  (PK),Station_name,Station_phone,Location_ID (FK),Network_ID (FK),Access_code,Access_Detail_code,Access_Day_time,EV_Pricing,Date_last_confirmed,Maximum_Vehicle_Class,Ev_Workplace_charging,Restricted_access,Location_ID (PK),Street_Address,City,State,ZIP,Intersection_Direction,Longitude,Latitude,Geocode_status
82929,Caisse Desjardins,855-519-2366,12737,7,public,,24 hours daily; for client use only,Free,2025-04-09,LD,False,1.0,12737,2885 Trethewey St,Abbotsford,BC,V2T 3R2,,-122.327092254492,49.0548372666617,GPS
82930,Auberge la Seigneurie des Monts Inc,418-763-5308,13512,7,public,,24 hours daily; free for clients,"$5-6 per charge for non-guests, free for guests, reception closes at 10 PM",2026-03-30,LD,False,1.0,13512,1395 McKenzie Rd,Abbotsford,BC,V2S 8A6,,-122.285678494998,49.0266312391797,GPS
82931,Best Western - North Bay,705-474-5800,11126,2,public,,24 hours daily; for guest use only,Free,2026-02-13,LD,False,1.0,11126,3550 Mt. Lehman Rd,Abbotsford,BC,V4X 2M9,,-122.380016,49.066148,GPS
82932,Best Western - Otonabee Inn,705-742-3454,14225,18,public,,24 hours daily; primarily for client use,Free for guest use; $9 per session for the public,2025-04-09,LD,False,1.0,14225,30362 Fraser Hwy,Abbotsford,BC,V4X 1G2,,-122.381946,49.055666,GPS
82933,Best Western - Pembroke Inn,613-735-0131,2955,13,public,,24 hours daily; for client use only,Free,2025-01-13,LD,False,1.0,2955,32513 S Fraser Way,Abbotsford,BC,V2T 4N5,,-122.32208,49.05199,GPS
82935,Centre le Sillon,418-829-3100,12762,10,public,,8am-9pm daily,Free,2025-11-13,LD,False,0.0,12762,3033 Immel Street,Abbotsford,BC,V2S 6S2,,-122.273037,49.056801,GPS
82937,Best Western Plus - Dryden,807-223-3201,12762,10,public,,24 hours daily; for client use only,Free,2026-02-13,LD,False,1.0,12762,3033 Immel Street,Abbotsford,BC,V2S 6S2,,-122.273037,49.056801,GPS
82938,Château Repotel Henri IV,418-872-1112,4833,10,public,,24 hours daily; for guest use only,Free,2026-03-30,LD,False,1.0,4833,3182 Gladwin Rd,Abbotsford,BC,V2S 7B4,Near main entrance outside,-122.31208,49.058964,GPS
82939,Best Western Plus- Brant Park Inn,519-753-8651,4296,10,public,,24 hours daily; for guests only,Free,2026-02-13,LD,True,1.0,4296,Peardonville 31060 block,Abbotsford,BC,V2T 6K4,Near truck bay door,-122.36314,49.046246,GPS
82940,Chocolaterie de l'Ile d'Orleans,418-828-2252,1290,1,public,,24 hours daily; For client and employee use only,Free,2026-03-12,LD,True,1.0,1290,30295 Automall Dr,Abbotsford,BC,V2T 5M1,,-122.384009,49.060632,200-9
82943,Ecole de Sainte-Famille,418-829-3572  418-829-0297,6215,2,public,,24 hours daily,Free,2022-12-12,LD,True,0.0,6215,33738 Laurel Street,Abbotsford,BC,V2S 1X2,,-122.2911348,49.0465359,GPS
82950,Riotel Matane,877-566-2651,10203,10,public,,24 hours daily,Free,2023-01-12,LD,False,0.0,10203,30210 Automall Dr,Abbotsford,BC,V2T 5M1,,-122.387138,49.060522,GPS
82952,Best Western Plus - City Centre,613-728-1951,12002,2,public,,24 hours daily; for client use only,$10 session fee,2025-01-13,LD,False,1.0,12002,1888 North Parallel Rd,Abbotsford,BC,V3G 2C6,,-122.229882,49.036332,GPS
82956,Best Western Plus - Mariposa Inn,705-325-9511,12238,33,public,,24 hours daily; for guest use only,Free,2025-04-09,LD,False,1.0,12238,3021 Lefeuvre Rd,Abbotsford,BC,V4X 1K7,,-122.4492276,49.0568778,GPS
82957,Best Western Plus - Milton,905-875-3818,15316,10,public,,24 hours daily; for guest use only,$25 starting fee,2026-02-13,LD,False,1.0,15316,2054 Whatcom Road,Abbotsford,BC,V3G 2K8,,-122.22106,49.040883,GPS
82958,Best Western Plus - Nor'Wester Hotel,807-473-9123,15316,10,public,,24 hours daily; For guest use only,Free,2025-03-07,LD,False,1.0,15316,2054 Whatcom Road,Abbotsford,BC,V3G 2K8,,-122.22106,49.040883,GPS
82970,Hotel Sommet des Neiges,819-681-9000,3331,2,public,KEY_ALWAYS,24 hours daily; for guest use only,Free for guests; parking fee required,2026-03-30,MD,False,1.0,3331,2600 Gladys Ave,Abbotsford,BC,V2S 0E9,,-122.287123,49.04916,GPS
82972,Hotel Port-Royal,418-692-2777,6454,2,public,,24 hours daily; priority given to hotel guests,"$25 per day for hotel guests, hourly rate available for public",2026-03-12,LD,False,0.0,6454,100-1425 Sumas Way,Abbotsford,BC,V2S 8M9,,-122.266791,49.028402,GPS
82973,Hopital General Juif,514-340-8222,1696,2,public,,24 hours daily,Free with parking fee,2023-04-05,LD,False,0.0,1696,35045 Exbury Ave.,Abbotsford,BC,V2S 7L1,,-122.2525,49.068528,GPS
82976,Hotel Montfort Nicolet,,4722,10,public,,24 hours daily; for client and guest use only,Free,2025-11-13,LD,False,1.0,4722,1920 N Parallel Rd,Abbotsford,BC,V3G 2C6,Northeast Corner,-122.23045,49.037685,GPS
82981,Crabby Joe's,519-235-1400,9233,2,public,,24 hours daily,Free,2026-02-13,LD,False,0.0,9233,33338 Mayfair Ave,Abbotsford,BC,V2S 0A4,,-122.301222,49.039917,GPS
82987,Euro Parts,800-678-8352,6171,4,public,,24 hours daily,Free,2025-03-07,LD,False,0.0,6171,30445 Progressive Way,Abbotsford,BC,V2T 6W3,,-122.3797873,49.0489466,GPS
82990,Manoir Mauvide-Genest,418-829-2630,6745,4,public,,24 hours daily,Free,2018-06-11,,False,0.0,6745,31601 Walmsley Ave,Abbotsford,BC,V2T6G5,,-122.3495829,49.0248103,GPS
82991,Marcel Dionne et Fils Club Piscine,418-723-1692,10007,4,public,,24 hours daily; for client use only,Free,2026-03-30,LD,True,1.0,10007,2180 Gladwin Rd,Abbotsford,BC,V2S 0H4,,-122.315,49.0417,GPS
82994,Motos Illimitees,450-477-4000,10025,4,public,,9am-6pm M-W; 9am-9pm Th-F; 9am-4pm Sat; for client and employee use only,,2026-03-12,LD,True,1.0,10025,32500 S Fraser Way,Abbotsford,BC,V2T 1X3,,-122.325,49.0505,GPS
82999,Bibliothèque Oscar Ferland,418-828-2962,10404,10,public,,24 hours daily,Free,2026-03-30,LD,False,0.0,10404,33844 King Road,Abbotsford,BC,V2S 7M7,,-122.28535,49.029398,GPS
83005,Metro Plus Fournier,819-376-3028,690,10,public,,8am-10pm daily,Free,2021-10-12,LD,False,0.0,690,1395 McKenzie Rd Parking Lot 10,Abbotsford,BC,V2S 7N6,,-122.284588,49.026963,GPS
83016,Pneus Ratte Limoilou,418-529-5378,4957,10,public,,24 hours daily; for client use only,Free,2020-04-10,,True,1.0,4957,1395 McKenzie Rd. Parking Lot 10,Abbotsford,BC,V2S 7N6,,-122.28456,49.026943,GPS
83019,Highland Ford,705-759-5050,2167,10,public,,24 hours daily,Free,2026-02-13,MD,True,1.0,2167,33844 King Rd Parking Lot 10b,Abbotsford,BC,V2S 7M7,,-122.286243,49.027909,GPS
83021,Homewood Suites by Hilton,519-514-0088,5149,10,public,,24 hours daily; for guest use only,,2025-01-13,LD,False,1.0,5149,33844 King Rd. Parking Lot 6a,Abbotsford,BC,V2S 7M7,,-122.285116,49.029385,GPS
83026,Surgenor Gatineau Chevrolet Cadillac,819-777-2731,1186,10,public,,24 hours daily for clients,$4.50 per hour,2025-11-13,LD,False,1.0,1186,3384 Parking Lot 6a,Abbotsford,BC,V2S 7M7,,-122.285225,49.029416,GPS
83035,Bear Street Parkade,403-762-1110,11482,10,public,,24 hours daily,Free,2026-01-14,LD,False,0.0,11482,30645 Firecat Avenue,Abbotsford,BC,V2T 6H5,,-122.375835,49.030393,GPS
83042,"Stationnement de courtoisie, Ville d'Amos",819-732-3254,1694,2,public,,24 hours daily,Free,2022-02-10,LD,False,0.0,1694,34260 Old Yale Rd,Abbotsford,BC,V2S 7S6,,-122.263972,49.048444,GPS
83046,Église Saint-Jean,418-829-2630,3405,12,public,,24 hours daily,Free,2022-12-12,LD,False,0.0,3405,14 Willow St N,Halton Hills,ON,L7J 1G8,,-80.0412431004903,43.6305568488324,GPS
83048,Restaurant Grec Baie-Jolie,819-377-2511,1371,2,public,,24 hours daily,Free,2026-03-30,LD,False,0.0,1371,43 Alice St.,Acton,ON,L7J 2A9,,-80.04144,43.632857,GPS
83050,Assiniboine Park Zoo,204-927-6001,3407,1,public,,24 hours daily; for customer use only,Free,2025-07-07,LD,False,1.0,3407,1 Park Ave,Halton Hills,ON,L7G 1Y4,,-79.929349,43.643781,GPS
83053,CAA Manitoba,204-262-6243,7390,5,public,,24 hours daily; for CAA members only,,2025-04-09,LD,False,1.0,7390,960 rue Boulay,Acton Vale,QC,J0H 1A0,,-72.5636316529141,45.6490206521801,GPS
83054,Comfort Inn,204-727-6232,7408,5,public,,24 hours daily; for guest use only,Free,2025-07-07,LD,False,1.0,7408,"320, Rue de Roxton",Acton Vale,QC,J0H 1A0,,-72.5679777,45.6387205,GPS
83055,Days Inn,204-325-8888,7825,5,public,,24 hours daily; for guest use only,Free,2025-08-12,LD,False,1.0,7825,"1100, rue Saint-André",Acton Vale,QC,J0H 1A0,,-72.56472,45.6498,GPS
83057,Edgewater Recreation,204-367-8483,13253,5,public,,24 hours daily,Free,2022-06-10,LD,False,0.0,13253,1100 rue Saint-André,Acton Vale,QC,J0H 1A0,,-72.564313,45.649763,GPS
83073,St. Christopher's Hotel,709-695-3500,13570,2,public,,24 hours daily; for guest use only,Free,2025-10-13,LD,False,1.0,13570,1600 3e avenue,Acton Vale,QC,J0H 1A0,,-72.576111,45.656667,GPS
83074,SW Energy,709-466-5411,13388,32,public,,24 hours daily,Free,2025-03-07,LD,False,0.0,13388,1600 Rue d'Acton,Acton Vale,QC,J0H 1A0,,-72.575218,45.644826,GPS
83077,Hickman Chevrolet Buick GMC,709-466-2661,11998,5,public,,24 hours daily; for customers only,Free,2024-09-12,LD,False,1.0,11998,"35, Rue Principale Ouest",Adstock,QC,G0N 1S0,,-71.0776008,46.0474539,GPS
83078,Hickman Chevrolet Cadillac,709-726-6990,11999,5,public,,8am-6pm M-F; For clients use only,Free,2023-10-12,LD,False,1.0,11999,250 ch Sacré-Cœur Ouest,Adstock,QC,G0N 1S0,,-71.179684,46.130764,GPS
83079,Hickman Motors GM,709-256-3906,11989,5,public,CALL,24 hours daily,Free,2023-10-12,LD,False,0.0,11989,"1025, Route du Lac-du-Huit",Adstock,QC,G0N 1S0,,-71.2006577,46.0746353,GPS
83081,Woodward Auto Group,709-635-4800,12000,5,public,,24 hours daily,Free,2025-12-12,LD,False,1.0,12000,"47, Rue du Parc",Adstock,QC,G0N 1S0,,-71.0797616999999,46.046019,GPS
83082,Riverfront Chalets & Rafting,709-486-0892,12001,5,public,,24 hours daily,Free,2025-06-06,LD,False,0.0,12001,"10, Rue Chouinard Sud",Adstock,QC,G0N 1S0,,-71.1824505,46.0070996,GPS
83083,Riverside Kwick-Way Convenience Store,709-486-9679,9719,4,public,,24 hours daily; for customers only,,2025-09-12,LD,False,1.0,9719,86 Bayside Road,Afton Station,NS,B0H 1A0,,-61.7403160591173,45.5940575896348,GPS
83084,Around the Sea Rotating Suites & Tours,866-557-8383,2099,7,public,CALL,24 hours daily,Free,2026-03-30,LD,False,0.0,2099,3971 Chowat Rd,Agassiz,BC,V0M 1A2,,-121.709,49.2746,GPS
83088,Holland College,902-888-6448,12688,7,public,,24 hours daily,Free,2025-03-07,LD,False,0.0,12688,1001 Chehalis Rd,Agassiz,BC,V0M 1A1,,-121.929777562075,49.3023788936649,GPS
83089,Inn On The Harbour,833-838-8770,3585,2,public,,24 hours daily from Jun-Oct; for guest use only,Free,2017-09-06,,False,1.0,3585,7167 Pioneer Avenue,Agassiz,BC,V0M 1A0,,-121.76211,49.23895,GPS
83090,Aurora Community Centre,905-841-2371,12332,33,public,,24 hours daily,Free,2026-03-30,LD,False,0.0,12332,7110 Cheam Ave,Agassiz,BC,V0M 1A3,,-121.76324,49.23806,GPS
83092,Kool Breeze Farms Garden Centre,902-436-1900,8266,5,public,,24 hours daily,,2025-12-12,MD,False,0.0,8266,250 Route Jacques-Cartier,Aguanish,QC,G0G 1A0,,-62.11512,50.22954,GPS
83093,Prince Edward Island Preserve Co,902-964-4300,14090,5,public,,24 hours daily,Free,2026-03-30,LD,False,0.0,14090,"2700, Boulevard Marcel-Laurin",Ahuntsic-Cartierville,QC,H4S 1P7,,-73.71075,45.521852,GPS
83095,Rossignol Winery,902-962-4193,1246,9,public,,9am-5pm daily (May-Oct),Free,2022-04-13,LD,False,0.0,1246,64 E Lake Ave NE,Aidrie,AB,T4A 2G8,,-113.997998,51.295673,200-8
83096,Summerside City Hall,902-439-5776,111,1,public,,24 hours daily,Free,2025-06-06,LD,False,0.0,111,147 Main St,Ailsa Craig,ON,N0M 1A0,,-81.851981,43.165198,200-8
83097,Jeff Smith's County Chevrolet,,9840,2,private,,"7:30am-8pm M-Th, 7:30am-6pm F, 8am-4pm Sat; Service center use only",Free,2026-03-30,LD,False,,9840,3609 Highway 31,Ainsworth Hot Springs,BC,V0G 1A0,,-116.9113877,49.735835,GPS
83098,The Bottle Houses,902-854-2987,9840,2,public,,24 hours daily,Free,2025-06-06,LD,False,0.0,9840,3609 Highway 31,Ainsworth Hot Springs,BC,V0G 1A0,,-116.9113877,49.735835,GPS
83099,The Quality Inn,902-436-2295,740,9,public,,24 hours daily; For guest use only,Free,2025-12-12,LD,False,1.0,740,133 Sierra Springs Dr SE,Airdrie,AB,T4B 3G7,,-114.004469,51.268369,200-9
83102,Best Western Plus - Parkway Inn,,2,1,public,,24 hours daily; for customer and guest use only; See front desk for use,Free for guests,2026-03-30,LD,False,0.0,2,149 E Lake Crescent NE,Airdrie,AB,T4A 2H9,,-113.998284,51.288119,200-9
83103,Boulevard Chevrolet Buick GMC Cadillac,,5971,2,private,CALL,8am-5pm M-F; for client use only,Free,2026-03-30,,False,,5971,149 East Lake Cres NE,Airdrie,AB,T4A 2H7,,-113.999187,51.287771,GPS
83105,Township Chevrolet Buick GMC,,742,9,public,,24 hours daily,Free,2025-06-06,LD,False,0.0,742,911 Highland Park Cove NE,Airdrie,AB,T4A 0R2,,-113.997597,51.301112,200-9
83108,Wilmot Community Centre,902-432-1281,741,9,public,,24 hours daily,Free,2025-06-06,LD,False,0.0,741,53 E Lake Ave NE,Airdrie,AB,T4A 2G8,,-113.996556,51.296012,200-8
83111,Edmond Financial Group,204-478-8500,14879,42,public,,6pm-2am daily,Free,2025-06-06,LD,False,0.0,14879,55 Taunton Rd E,Ajax,ON,L1T 0J3,,-79.03882,43.89549,GPS
83113,Best Western - The Royal Oak Inn,705-721-4848,12856,10,public,,24 hours daily; for guest use only,Free,2026-02-13,LD,False,1.0,12856,170 Westney Rd S,Ajax,ON,L1S 2C8,,-79.03775,43.844529,GPS
83115,Centre de santé et de services sociaux (CISS) - Rouyn-Noranda,,1930,10,private,GOVERNMENT,24 hours daily,Free,2026-03-30,MD,True,,1930,75 Centennial Rd,Ajax,ON,L1S 4S4,Community Centre,-79.020677,43.838227,GPS
83116,Fort Whyte Alive,204-989-8355,1930,10,public,,Business hours,Free,2022-06-10,HD,False,0.0,1930,75 Centennial Rd,Ajax,ON,L1S 4S4,Community Centre,-79.020677,43.838227,GPS
83117,Hilton Winnipeg Airport Suites,204-783-1700,1930,10,public,,24 hours daily; for guest use only,Free,2025-07-07,LD,False,1.0,1930,75 Centennial Rd,Ajax,ON,L1S 4S4,Community Centre,-79.020677,43.838227,GPS
83122,Camping de Carleton-sur-Mer,418-364-3992,1929,10,public,,24 hours daily; available May-October only; two ports are for client use only,Free,2026-02-13,LD,False,0.0,1929,1955 Audley Rd,Ajax,ON,L1Z 0L2,Parking Lot,-79.006555,43.898071,GPS
83123,Salon Boucles d'Amours,,1929,10,public,,24 hours daily; client use only,Free,2026-03-30,LD,True,1.0,1929,1955 Audley Rd,Ajax,ON,L1Z 0L2,Parking Lot,-79.006555,43.898071,GPS
83124,Gus Revenberg Chevrolet Buick GMC,519-979-2800,1931,10,public,CALL,"8am-7pm M-Th, 8am-5pm F, 8am-4 PM Sat; for clients only",Free,2025-04-09,LD,False,1.0,1931,95 Magill Dr,Ajax,ON,L1T 4M5,,-79.036157,43.866224,GPS
83129,Garage Travaux Publics,,1931,10,private,GOVERNMENT,Membership card,,2026-02-13,LD,True,,1931,95 Magill Dr,Ajax,ON,L1T 4M5,,-79.036157,43.866224,GPS
83130,Tru-Nor Truck Centre,705-560-6625 x209,11027,10,public,,24 hours daily,Free,2024-01-12,LD,False,1.0,11027,500 Bayly St W,Ajax,ON,L1S 4G6,,-79.036692,43.840379,GPS
83133,Island Lake Conservation Area,519-941-6329,11027,10,public,,8am-6pm daily for park visitors,Free for park visitors,2025-04-09,MD,False,1.0,11027,500 Bayly St W,Ajax,ON,L1S 4G6,,-79.036692,43.840379,GPS
83135,Leo Mol Sculpture Garden,204-927-6001,3072,10,public,,24 hours daily,Free,2025-07-07,MD,False,0.0,3072,800 Salem Rd N,Ajax,ON,L1Z 0K4,,-79.01813,43.879745,GPS
83138,Kemptville Bowling Lanes,613-258-3121,3069,10,public,CALL,24 hours daily,Free,2024-02-12,LD,False,0.0,3069,65 Harwood Ave S,Ajax,ON,L1S 2H9,,-79.02048,43.8507,GPS
83145,La Place Rendez-Vous,800-544-9435,3069,10,public,,24 hours daily; for guests only,Free,2026-03-30,LD,False,1.0,3069,65 Harwood Ave S,Ajax,ON,L1S 2H9,,-79.02048,43.8507,GPS
83151,Hopital de Baie-Saint-Paul,4184355150,6231,10,private,GOVERNMENT,Fleet vehicles only,Free,2021-08-03,,True,,6231,3585 MacKenzie Ave,Ajax,ON,L1S 6M2,Behind Mazda dealership,-79.028024,43.841046,GPS
83153,Hôpital de La Malbaie,,11003,2,private,GOVERNMENT,Fleet vehicles only,Free,2026-03-30,,False,,11003,100 Achilles Rd,Ajax,ON,L1Z 0C5,,-79.0091612,43.8542913,GPS
83160,Ken Knapp Ford,,521,1,public,CALL,24 hours daily,Free,2024-06-13,LD,False,0.0,521,425 Bayly St W,Ajax,ON,L1S 6M3,,-79.033281,43.83961,200-9
83162,Lake Shore Motors,705-567-9271,14664,10,public,,24 hours daily,,2026-03-30,LD,False,0.0,14664,221 Church Street South,Ajax,ON,L1S 0A1,,-79.048653,43.840082,GPS
83168,Super 8,-1641,14664,10,private,,24 hours daily; for guest use only,Free for guests,2022-06-10,LD,False,,14664,221 Church Street South,Ajax,ON,L1S 0A1,,-79.048653,43.840082,GPS
83170,Super 8,-8825,14664,10,private,,24 hours daily; for guest use only,Free,2022-06-10,,False,,14664,221 Church Street South,Ajax,ON,L1S 0A1,,-79.048653,43.840082,GPS
83182,Laura Secord Homestead,877-642-7275  905-356-2241,14664,10,public,,24 hours daily,Free,2023-01-12,LD,False,0.0,14664,221 Church Street South,Ajax,ON,L1S 0A1,,-79.048653,43.840082,GPS
83186,LCBO,905-665-3244,5382,1,public,,24 hours daily,Free,2025-10-13,LD,False,0.0,5382,15 Westney Rd N,Ajax,ON,L1T 1P4,,-79.0409444245387,43.8586659099298,GPS
83191,Robert's Farm Equipment,519-887-6365,5383,1,public,,24 hours daily,Free,2026-02-13,HD,False,0.0,5383,280-350 Harwood Ave S,Ajax,ON,L1S 2J1,,-79.01873,43.84412,200-9
83192,Caisse Desjardins,418-856-2340,13286,10,public,,24 hours daily,$1 per hour for public; free for employees,2019-09-11,,False,0.0,13286,250 Westney Rd S,Ajax,ON,L1S 7P9,,-79.036509,43.841391,GPS
83196,Microtel Inn & Suites,613-427-3550,464,1,public,,24 hours daily; guest use only,Free,2024-05-13,LD,False,1.0,464,180 Station St,Ajax,ON,L1S 2G3,,-79.028273,43.85045,200-9
83198,Middlesex Centre Wellness & Recreation Complex,519-601-8022,11617,14,public,,24 hours daily,,2026-02-13,LD,False,0.0,11617,3 Keensford Court,Ajax,ON,L1Z 0K4,,-79.022669,43.874533,GPS
83199,Middlesex County Public Library,519-294-6244,908,9,public,,24 hours daily,Free,2024-05-13,LD,False,0.0,908,500 Beck Crescent,Ajax,ON,L1Z 1C9,,-79.009941,43.857584,200-8
83201,Mitchell Cycle,519-348-0490,909,9,public,,24 hours daily,Free,2023-04-05,LD,False,0.0,909,600 Beck Crescent,Ajax,ON,L1Z 1C9,,-79.00758,43.857498,200-9
83207,Gouvernement Canada,,6072,2,private,,,,2021-02-12,,False,,6072,580 Harwood Ave S,Ajax,ON,L1S 2J4,,-79.0179937,43.8363265,GPS
83208,Centre Jeunesse de l'Estrie,,13585,10,private,,24 hours daily,Free,2026-03-30,LD,False,,13585,180 Achilles Road,Ajax,ON,L1S 7S3,,-79.008069,43.854144,GPS
83210,Gouvernement Canada,,15304,10,private,,,,2021-02-12,,False,,15304,230 Westney Rd S,Ajax,ON,L1S 7J5,,-79.036782,43.842036,GPS
83212,Centre Local de Services Communautaires de Saint-Jean Port-Joli,,5384,1,private,,24 hours daily; for employees only,,2026-03-30,LD,True,,5384,75 Lake Driveway,Ajax,ON,L1S 3X1,,-79.00733,43.82377575,GPS
83213,Centre Integre de Sante et de Services Sociaux de Chaudiere-Appalaches,,5385,1,private,,24 hours daily; for fleet use only,,2026-03-30,LD,False,,5385,2020 Salem Rd,Ajax,ON,L1R 0H5,,-79.03141,43.89874864,GPS
83218,Mr. Janitorial Supplies,,5386,1,private,,For client use only,Free,2025-01-13,,True,,5386,655 Harwood Ave,Ajax,ON,L1S 1K8,,-79.01424,43.83587374,GPS
83221,Gouvernement Canada,,15350,6,private,,,,2021-02-12,,False,,15350,40 Kingston Rd E,Ajax,ON,L1Z 1E9,,-79.023471,43.863162,GPS
83223,Gouvernement Canada,,12570,1,private,,,,2021-02-12,,False,,12570,244 Kingston Rd E,Ajax,ON,L1Z 1G1,,-79.01644,43.86545,GPS
83226,Best Western Plus - Leamington Hotel & Conference Centre,519-326-8646,2559,10,public,,24 hours daily; for customer use only; available for non-customer use with permission,Free,2024-04-14,MD,False,1.0,2559,1 Rossland Rd E,Ajax,ON,L1Z 1Z2,,-79.024447,43.879787,GPS
83231,Pub St-Alex,418-970-0506,10685,4,public,,24 hours daily,Free,2026-03-12,LD,False,0.0,10685,90 Kingston Rd E,Ajax,ON,L1Z 1G1,,-79.0211933,43.8634711,GPS
83251,Provigo Alimentation Louis Grenier Inc,418-492-1034,10804,4,public,CREDIT_CARD_ALWAYS,24 hours daily,$1 per hour; free for employees,2026-03-30,LD,True,0.0,10804,15 Wney Rd N,Ajax,ON,L1T 1P4,,-79.03959656,43.8586998,GPS
83257,Queenston Chevrolet,,10769,4,private,,Dealership business hours,,2026-02-13,LD,False,,10769,280 350 Harwood Ave S,Ajax,ON,L1S2J1,,-79.01869965,43.84400177,GPS
