Location_ID (PK),Street_Address,City ,State,ZIP,Intersection_Direction,Longitude,Latitude,Geocode_status
22,75 avenue Saint-Laurent,Louiseville,QC,J5V 1J6,,-72.941361,46.255803,200-9
23,21 1re Ave E,St-Anne-des-Monts,QC,G4V 1A2,,-66.48544258,49.12994698,GPS
24,700 Lakeshore Dr,North Bay,ON,P1A 2G4,,-79.435513,46.266569,200-9
25,84 Lansdowne St E,Peterborough,ON,K9J 6Z3,,-78.303055,44.290061,200-9
26,1 International Dr,Pembroke,ON,K8A 6W5,,-77.116359,45.79871,200-9
27,3491 Ch Royal,St-Francois-de-l'Ile-d'Orleans,QC,G0A 3S0,,-70.813254,47.002766,200-9
28,349 Government St,Dryden,ON,P8N 2P4,,-92.83394,49.78736,200-9
29,2500 avenue St Jean Baptiste,Quebec,QC,G2E 6J5,,-71.331625,46.80455099,GPS
30,19 Holiday Dr,Brantford,ON,N3R 7J4,,-80.240786,43.163715,200-9
31,150 chemin du Bout de l'Ile,St-Petronille,QC,G0A 4C0,,-71.14025746,46.8498111,GPS
32,2482 Ch Royal,St-Famille,QC,G0A 3P0,,-70.962167,46.973152,200-9
33,250 Av du Phare E,Matane,QC,G4W 3N4,,-67.524649,48.852204,200-8
34,1274 Carling Ave,Ottawa,ON,K1Z 7K8,,-75.732949,45.385821,200-9
35,400 Memorial Ave,Orillia,ON,L3V 6J3,,-79.422767,44.589674,200-9
36,161 Chisholm Dr,Milton,ON,L9T 4A6,,-79.907297,43.525871,200-9
37,2080 Highway 61,Thunder Bay,ON,P7J 1B8,,-89.359761,48.316269,200-9
38,150 Chemin au Pied-de-la-Montagne,Mont-Tremblant,QC,J8E 3M2,,-74.58389221,46.21210103,GPS
39,144 rue Saint-Pierre,Québec City,QC,G1K 8N8,,-71.2031,46.81649,200-9
40,3755 Ch de la Cote-Sainte-Catherine,Montreal,QC,H3T 1E2,,-73.628336,45.497712,200-8
41,1141 rue Saint-Jean-Baptiste,Nicolet,QC,J3T 1W4,,-72.633154,46.234117,200-9
42,58 Main St N,Exeter,ON,N0M 1S3,,-81.482192,43.35791,200-9
43,39822 Belgrave Rd,Belgrave,ON,N0G 1E0,,-81.376017,43.821246,200-9
44,4818 Chemin Royal,Saint-Jean-de-l'Île-d'Orléans,QC,G0A 3W0,,-70.90217186,46.91469731,GPS
45,905 rue de Lausanne,Rimouski,QC,G5L 8Y9,,-68.572969,48.412116,200-9
46,3250 boul. des Entreprises,Terrebonne,QC,J6X 4J8,,-73.690931,45.724313,200-9
47,515 Route des Pretres,St-Pierre,QC,G0A 4E0,,-71.07028345,46.88900416,GPS
48,850 boul. Thibeau,Trois-Rivières,QC,G8T 7A6,,-72.55288504,46.38749517,GPS
49,103 3e Ave,Quebec,QC,G1L 2V3,,-71.224794,46.820527,200-9
50,68 Great Northern Rd,Sault St.e Marie,ON,P6B 4Y8,,-84.31941,46.526649,200-8
51,45 Benjamin Rd,St. Jacobs,ON,N2V 0C6,,-80.552876,43.507344,200-9
52,950 boul. Saint-Joseph,Gatineau,QC,J8Z 1S9,,-75.737677,45.466558,200-9
53,128 Bear St,Banff,AB,T1L 1A1,,-115.572164,51.175795,200-9
54,81 boul. Mercier,Amos,QC,J9T 2N8,,-78.121816,48.571598,200-9
55,14 rue de l'Église,St-Jean-de-l'Île-d'Orléans,QC,G0A 3W0,,-70.8895658,46.92043815,GPS
56,9151 rue Notre Dame O,Trois-Rivières,QC,G9B 6T2,,-72.61875298,46.29517226,GPS
57,2595 Roblin Blvd,Winnipeg,MB,R3R 2N7,,-97.24099461,49.86794606,GPS
58,220 Dawson Rd,Winnipeg,MB,R2J 0S7,,-97.09085191,49.88760279,GPS
59,925 Middleton Ave,Brandon,MB,R7C 1A8,,-99.949517,49.887652,200-9
60,395 Boundary Trail,Winkler,MB,R6W 4B1,,-97.937771,49.19354,200-9
61,46 Pine St,Pine Falls,MB,R0E 1M0,,-96.2169578,50.5674124,GPS
62,146 Caribou Rd,Channel-Port Aux Basques,NL,A0M 1C0,,-59.142281,47.576314,200-9
63,9 Myers Ave,Clarenville,NL,A5A 1T5,,-53.990245,48.163983,200-8
64,16 Shoal Harbour Dr,Clarenville,NL,A5A 2C4,,-53.98554775,48.16943888,GPS
65,85 Kenmount Rd,St. John's,NL,A1B 3R1,,-52.759686,47.55658,200-9
66,201 Airport Blvd,Gander,NL,A1V 1L5,,-54.607177,48.956628,200-9
67,9A Trans Canada Hwy,Deer Lake,NL,A8A 2E5,,-57.426532,49.189317,200-8
68,Todd Parsons & Krista Sharpe NL-1,Grand Falls-Windsor,NL,A2A 2K2,20 km west of Grand Falls-Windsor,-55.91247784,48.95050552,GPS
69,72 High St,Grand Falls-Windsor,NL,A2A 1C6,,-55.655826,48.927566,200-8
70,130 Lantern Hill Dr,North Rustico,PE,C0A 1X0,,-63.298689,46.460819,200-9
71,98 Water St,Summerside,PE,C1N 4N6,"Located at the front of the building, near the center",-63.782974,46.390247,200-9
72,3 Hillsborough St,Charlottetown,PE,C1A 4V7,Located on the side of the building in the laneway,-63.120571,46.234931,200-9
73,1 Community Centre Ln,Aurora,ON,L4G 7B1,,-79.471971,44.003984,200-9
74,231 Read Dr,Summerside,PE,C1N 5B1,,-63.74158,46.394687,200-9
75,2841 New Glasgow Rd,New Glasgow,PE,C0A 1N0,,-63.348014,46.40903,200-9
76,11147 Shore Rd,Little Sands,PE,C0A 1W0,,-62.632453,45.966686,200-9
77,275 Fitzroy St,Summerside,PE,C1N 1H9,Main Parking Lot - South East corner of building,-63.790596,46.393032,200-9
78,224 Talbot St N,Essex,ON,N8M 2C8,,-82.827886,42.17917,200-9
79,6891 Route 11,Cape Egmont,PE,C0B 2E0,,-64.101539,46.402187,200-9
80,618 Water St E,Summerside,PE,C1N 4H7,,-63.769318,46.393747,200-9
81,1515 Vincent Massey Dr,Cornwall,ON,K6H 5R6,,-74.75697232,45.03139531,GPS
82,374 Montee Industrielle-et-Commerciale,Rimouski,QC,G5L 7C5,,-68.495154,48.457449,200-9
83,34 Water St,Summerside,PE,C1N 4T8,Located on the Eastern side,-63.775791,46.391639,200-9
84,110 Gillespie Ave,Summerside,PE,C1N 4P5,By main entrance,-63.763145,46.398349,200-9
85,420 Academy Rd,Winnipeg,MB,R3N 0B9,,-97.184722,49.873633,200-9
86,35 Hart Dr,Barrie,ON,L4N 5M3,,-79.708125,44.380421,200-9
87,4 9e rue,Rouyn-Noranda,QC,J9X 2B2,,-79.020185,48.243479,200-8
88,1961 McCreary Rd,Winnipeg,MB,R3P 2K9,,-97.233849,49.819268,200-8
89,1800 Wellington Ave,Winnipeg,MB,R3H 1B2,,-97.20800781,49.9004456,GPS
90,319 Av du Phare,Carleton,QC,G0C 1J0,,-66.10014473,48.09256017,GPS
91,234 boul. Tache E,Montmagny,QC,G5V 1C2,,-70.549737,46.984874,200-9
92,10150 Tecumseh Rd E,Tecumseh,ON,N8R 1A2,,-82.916044,42.314019,200-8
93,725 Avenue Lord,Rouyn-Noranda,QC,J9X 7A6,,-79.023459,48.223764,200-9
94,1035 Falconbridge Rd,Sudbury,ON,P3A 4M9,,-80.92157,46.520264,200-9
95,673067 Hurontario St S,Orangeville,ON,L9W 2Y9,"One charger is in Parking Lot 1, one charger is in Parking Lot 2",-80.08043854,43.93410992,GPS
96,460 Assinboine Park Dr,Winnipeg,MB,R3P 2N7,In front of the English Garden entrance,-97.240203,49.874316,200-9
97,291 County Rd 44,Kemptville,ON,K0G 1J0,,-75.653418,45.02272,200-9
98,1201 Idylwild Dr,Fort Frances,ON,P9A 3M3,,-93.358859,48.617818,200-8
99,74 rue Ambroise Fafard,Baie-St.-Paul,QC,G3Z 2J6,,-70.51046833,47.43938747,GPS
100,303 rue Saint-Etienne,La Malbaie,QC,G5A 1T1,,-70.15208,47.655761,200-8
101,390 Talbot Rd N,Essex,ON,N8M 2X5,,-82.83277,42.183564,200-8
102,1155 Government Rd,West Kirkland Lake,ON,P2N 3K4,,-80.067984,48.131962,200-9
103,1457 Main St S,Dauphin,MB,R7N 3B3,,-100.064789,51.135161,200-9
104,115 Kelsey Trail,Swan River,MB,R0L 1Z0,,-101.2499813,52.10823178,GPS
105,29 Partition St,Queenston,ON,L0S 1L0,,-79.055564,43.16418,200-9
106,74 Thickson Rd S,Whitby,ON,L1N 7T2,,-78.912441,43.883827,200-9
107,83145 Brussels Line,Walton,ON,N0K 1Z0,,-81.298541,43.683924,200-9
108,308 4e Av Painchaud,La Pocatiere,QC,G0R 1Z0,,-70.038639,47.367982,200-8
109,17 rue Industriel,Casselman,ON,K0A 1M0,,-75.07934775,45.30592715,GPS
110,1 Tunks Ln,Komoka,ON,N0L 1R0,,-81.422658,42.951445,200-8
111,147 Main St,Ailsa Craig,ON,N0M 1A0,,-81.851981,43.165198,200-8
112,4131 164 Rd,Mitchell,ON,N0K 1N0,,-81.189249,43.478407,200-8
113,10 rue Wellington,Gatineau,QC,J8X 2L3,,-75.72203283,45.42583348,GPS
114,6435 rue Notre-Dame,Lac-Megantic,QC,G6B 2M9,,-70.874889,45.570655,200-9
115,11 rue Laurier,Gatineau,QC,J8X 4A6,,-75.713094,45.425395,200-9
116,430 rue Jean-Leclerc,St-Jean-Port-Joli,QC,G0R 3G0,,-70.256952,47.209394,200-8
117,851 Avenue Sainte-Therese,St-Joseph-de-Beauce,QC,G0S 2V0,,-70.878615,46.307753,200-8
118,1125 Kerrisdale Blvd,Newmarket,ON,L3Y 8W1,,-79.432768,44.078672,200-9
119,140 Prom. du Portage,Gatineau,QC,J8X 4B6,,-75.716083,45.42555,200-9
120,165 rue de l'Hotel-de-Ville,Gatineau,QC,J8X 2C6,,-75.712974,45.427661,200-9
121,566 Bevel Ln Rd,Leamington,ON,N8H 3V4,,-82.570747,42.014941,200-9
122,652 Route 289,St-Alexandre,QC,G0L 2G0,,-69.620658,47.680968,200-9
123,501 Avenue Patry,St-Pascal,QC,G0L 3Y0,,-69.810727,47.530414,200-9
124,282 Centennial Pkwy N,Hamilton,ON,L8E 2X4,,-79.759173,43.238827,200-9
125,310 Mackenzie Ave E,Atikokan,ON,P0T 1C0,,-91.618138,48.756038,200-9
126,1120 Trans-Canada Highway 17,Terrace Bay,ON,P0T 2W0,,-87.097191,48.783132,200-8
127,1680 Kildare Rd,Windsor,ON,N8W 2W6,,-83.001366,42.305572,200-9
128,98 Av de Port-Royal,Bonaventure,QC,G0C 1E0,,-65.49283571,48.044595,GPS
129,100 Ramsey Lake Rd,Sudbury,ON,P3E 5S9,,-80.9962,46.4707,200-9
130,287 rue Pierre-Saindon,Rimouski,QC,G5L 9A7,,-68.524215,48.444931,200-9
131,487 6th Ave S,Virden,MB,R0M 2C0,,-100.929206,49.850303,200-8
132,1249 C Gateway Rd,Winnipeg,MB,R2G 1G5,,-97.065232,49.932628,200-9
133,300-1717 Waverley St,Winnipeg,MB,R3T 6A9,Unit 300,-97.178734,49.81491,200-8
134,7400 Portage Rd,Niagara,ON,L2E 6T2,,-79.07732137,43.06936732,GPS
135,35 rue Principale,St-Pamphile,QC,G0R 3X0,,-69.779893,46.960741,200-9
136,2288 Parkedale Ave,Brockville,ON,K6V 5X3,,-75.695287,44.607186,200-8
137,135 Edward St,St. Thomas,ON,N5P 4A8,,-81.170404,42.785294,200-9
138,93 Rte 132 O,Sainte-Anne-de-la-Pocatière,QC,G0R 1Z0,,-70.07198,47.35192,200-8
139,4680 Queen St,Niagara Falls,ON,L2E 2L8,,-79.07088,43.106472,200-9
140,4275 Huron St,Stratford,ON,N5A 6S6,,-81.0128508,43.3844692,GPS
141,140 boul. Industriel,Rouyn-Noranda,QC,J9X 6T3,,-79.021661,48.22087,200-9
142,82790 London Rd,Blyth,ON,N0M 1H0,,-81.44709251,43.72611724,GPS
143,1 Chemin du Quai,St-Jean-de-l'Île-d'Orléans,QC,G0A 3W0,,-70.896742,46.916467,200-9
144,1180 Riverside Dr,Timmins,ON,P4R 1A4,,-81.371481,48.472555,200-8
145,182 1ere rue E,Amos,QC,J9T 2G1,"The parking lot behind the theater, beside the hotel.",-78.11324,48.564819,200-9
146,131 Bloor St W,Toronto,ON,M5S 1R1,,-79.392397,43.668764,200-9
147,180 rue de Monseigneur-Panet,Nicolet,QC,J3T 1S6,,-72.616086,46.226324,200-9
148,229 Main St,Parkhill,ON,N0M 2K0,,-81.6840802,43.16246243,GPS
149,4943 Clifton Hill,Niagara Falls,ON,L2G 3N5,,-79.073474,43.091456,200-9
150,280 boul. Hebert,Edmundston,NB,E3V 0A3,,-68.312845,47.378184,200-9
151,1370 Seymour St,North Bay,ON,P1B 9V6,,-79.438416,46.308712,200-9
152,39 St Pierre Blvd W,Caraquet,NB,E1W 1B6,,-64.944001,47.792869,200-8
153,144 A rue Canada,St. Quentin,NB,E8A 1G7,,-67.390662,47.508013,200-9
154,1 Valhalla Inn Rd,Thunder Bay,ON,P7E 6J1,,-89.30414,48.379645,200-9
155,82 Douglas Ave,Bathurst,NB,E2A 7S6,,-65.658658,47.620765,200-9
156,12 rue Turgeon,Val-d'Or,QC,J9P 0A5,,-77.797319,48.113358,200-9
157,146 rue de la Reine,Gaspe,QC,G4X 2S1,,-64.484839,48.82944,200-9
158,83 Highway 11 W,Cochrane,ON,P0L 1C0,,-81.036761,49.059159,GPS
159,490 Cote du Pont,St-Pierre,QC,G0A 4E0,,-71.097193,46.874606,200-9
160,1770 boul. Wallberg,Dolbeau-Mistassini,QC,G8L 1H8,,-72.231807,48.882176,200-9
161,92 rue Langevin,St-Henedine,QC,G0S 2R0,,-70.98496968,46.55949914,GPS
162,265 rue Drouin,Scott,QC,G0S 3G0,,-71.05413166,46.50711375,GPS
163,6055 Blvd Pierre-Bertrand,Quebec,QC,G2K 1M1,,-71.286761,46.83921,200-9
164,1860 boul. Valcartier,St-Gabriel-de-Valcartier,QC,G0A 4S0,,-71.474497,46.942872,200-9
165,93A Industrial Pkwy S,Aurora,ON,L4G 3V5,,-79.457082,43.997578,200-9
166,10000 chemin de la Vallee-du-Parc,Shawinigan,QC,G9T 5K5,,-72.796423,46.615268,200-9
167,375 rue Saint-Joseph,La Tuque,QC,G9X 1L5,,-72.781489,47.440711,200-9
168,273 Jospehine St,Wingham,ON,N0G 2W0,,-81.311972,43.886927,200-9
169,175 rue Sainte-Anne,Varennes,QC,J3X 1R1,,-73.441035,45.68241,200-9
170,32 York Blvd,Hamilton,ON,L8R 3M8,Located on Level 1B,-79.869252,43.259265,200-8
171,623 Smyth Rd,Ottawa,ON,K1G 1N7,,-75.639792,45.401793,200-9
172,70 Clarence St,Ottawa,ON,K1N 9B8,,-75.693083,45.428571,200-9
173,812 Railway St,Davidson,SK,S0G 1A0,,-105.9922427,51.26228026,GPS
174,3330 Fairlight Dr,Saskatoon,SK,S7M 3Y4,,-106.725222,52.127842,200-9
175,601 Spadina Crescent,Saskatoon,SK,S7K 3G8,,-106.6583968,52.12633657,GPS
176,31 McAffee St,Harrow,ON,N0R 1V0,,-82.917965,42.034764,200-9
177,169 Main St,Canso,NS,B0H 1H0,,-60.998944,45.334031,200-9
178,137 Church St,Antigonish,NS,B2G 2E2,"Past Sobeys in Mall lot, turn right for the Claymore; charging station at rear of the inn",-61.982485,45.615736,200-9
179,147 First Ave,Digby,NS,B0V 1A0,"Located at front of the building, to the right of the entrance",-65.757471,44.623961,200-9
180,80 Mawiomi Pl,Dartmouth,NS,B2Y 0A5,,-63.55213,44.65381,200-8
181,20 Huron St,Clinton,ON,N0M 1L0,,-81.540551,43.617189,200-9
182,200 Interchange Way,Vaughan,ON,L4K 5C3,,-79.530244,43.787562,200-9
183,2439 Riverside Dr,Timmins,ON,P4R 1M9,,-81.413496,48.472233,200-8
184,75 Mill St W,Tillbury,ON,N0P 2L0,,-82.446151,42.262758,200-9
185,1091 Chaplin St W,Swift Current,SK,S9H 0G7,,-107.814501,50.284734,200-8
186,323 Diefenbaker Dr,Moose Jaw,SK,S6J 0C1,,-105.512463,50.415386,200-9
187,550 Brand Rd,Saskatoon,SK,S7J 5J3,,-106.652701,52.086841,200-9
188,60 chemin Mill,Wakefield,QC,J0X 3G0,,-75.93607247,45.63495251,GPS
189,2591 Fulford-Ganges Rd,Salt Spring Island,BC,V8K 1Z4,,-123.465926,48.772431,GPS
190,14 Rayborn Crescent,St. Albert,AB,T8N 4B1,,-113.642141,53.622373,200-9
191,222 Lynx St,Banff,AB,T1L 1K5,,-115.573617,51.177928,200-9
192,50 Westpark Blvd,Fort Saskatchewan,AB,T8L 0B2,,-113.247995,53.680736,200-9
193,5207 50th Ave,Leduc,AB,T9E 6V3,,-113.558316,53.264188,200-9
194,1759 35th Ave E,Edmonton,AB,T9E 0V6,Located at Edmonton International Airport,-113.5626215,53.29224901,GPS
195,2185 Voght St,Merritt,BC,V1K 1R6,Located on the front posts of the building,-120.788241,50.112488,200-9
196,2505 rue de Celles,Quebec,QC,G2C 1K7,,-71.312257,46.824274,200-9
197,1 Bell Blvd,Enfield,NS,B2T 1K2,Second floor of the parkade,-63.514754,44.886339,200-9
198,50 McGilvray St,Guelph,ON,N1G 3A5,Parking Lot 30,-80.2342534,43.52724543,GPS
199,9 S Ring Rd E,Guelph,ON,N1G 2W2,Parking Lot 31,-80.22506844,43.52819547,GPS
200,11865 Highway 1,Hortonville,NS,B4P 2R3,Located on the front of the protruding Roaster building to the right of the entrance,-64.293468,45.10513,200-9
201,120 Webster St,Kentville,NS,B4N 1K6,,-64.499333,45.078338,200-9
202,15456 Cabot Trail,Cheticamp,NS,B0E 1H0,,-61.00706312,46.63737273,GPS
203,2484 Doral Dr,Innisfil,ON,L9S 0A3,Two units outside,-79.682256,44.301672,200-9
204,1840 boul. Marcotte,Roberval,QC,G8H 2P2,,-72.257727,48.537411,200-9
205,38 Maillard St,Membertou,NS,B1S 2P6,Located on the side of the market at the service station,-60.193528,46.119758,200-9
206,659 Queen St,Fredericton,NB,E3B 5A6,,-66.637182,45.960617,200-9
207,750 Main St,Moncton,NB,E1C 1E6,,-64.776649,46.088404,200-9
208,855 W 1st St,North Vancouver,BC,V7P 1A4,,-123.0967029,49.31766019,GPS
209,12420 Highway 50,Bolton,ON,L7E 1M7,,-79.706739,43.855769,200-9
210,51 Queensway E,Simcoe,ON,N3Y 4M5,,-80.302791,42.84707,200-8
211,121 Victoria St,Edmundston,NB,E3V 2H5,,-68.321479,47.367005,200-9
212,410 Conestogo Rd,Waterloo,ON,N2L 4E2,,-80.533921,43.498377,200-9
213,7625 Martin Grove Rd,Woodbridge,ON,L4L 2C5,,-79.608508,43.773443,200-8
214,820 Prospect St,Fredericton,NB,E3B 4Z2,,-66.677797,45.945759,200-9
215,6484 Ave de Monkland,Montreal,QC,H4B 1H3,Monkland at Cavendish,-73.631434,45.465544,200-9
216,1275 boul. Monseigneur-Langlois,Salaberry-de-Valleyfield,QC,J6S 1C1,,-74.13453,45.270444,200-9
217,625 rue Hebert,Salaberry-de-Valleyfield,QC,J6S 5N5,,-74.097949,45.266894,200-9
218,2155 Main St,Moncton,NB,E1C 9P2,,-64.81053449,46.07603985,GPS
219,170 Plantation Rd,Petitcodiac,NB,E4Z 6P3,,-65.157957,45.939523,200-9
220,141 Henry St,Miramichi,NB,E1V 2N5,,-65.566121,47.001077,200-9
221,10039 Rte 144,Grand Falls,NB,E3Z 1J5,,-67.78645694,47.07163565,GPS
222,34 Mallard Dr,Sackville,NB,E4L 4C3,Located 3 minutes from the TransCanada at exit 506,-64.369398,45.907556,200-8
223,589 Rte 560,Jacksonville,NB,E7M 3J2,,-67.61331029,46.21428095,200-9
224,428 rue William St,Dalhousie,NB,E8C 2X9,,-66.376924,48.066628,200-8
225,5 King St,St. Stephen,NB,E3L 2C1,,-67.275615,45.192666,200-9
226,5440 Spring Garden Rd,Halifax,NS,B3J 1E9,,-63.575227,44.642689,200-9
227,40 Boulder Blvd,Stony Plain,AB,T7Z 1V7,,-113.990121,53.542013,200-9
228,640 1st Ave W,Assiniboia,SK,S0H 0B0,,-105.952756,49.184003,200-8
229,400 King St,Estevan,SK,S4A 0A1,,-102.977139,49.145627,200-9
230,10225 8th Ave,Humboldt,SK,S0K 2A0,,-105.1119592,52.2026996,GPS
231,11429 Railway Ave,North Battleford,SK,S9A 3P7,,-108.2727446,52.75928452,GPS
232,820C 51st St E,Saskatoon,SK,S7K 0X8,,-106.653121,52.175728,200-9
233,1 Centennial Dr,Kananaskis,AB,T0L 2H0,Located in underground parking lot,-115.1463782,50.91809835,GPS
234,4819 8th Concession Rd,Windsor,ON,N0R 1K0,,-82.9496771,42.2498644,200-9
235,100 John West Way,Aurora,ON,L4G 6J1,,-79.450705,44.006779,200-9
236,1560 rue Sherbrooke Est,Montreal,QC,H2L 4M1,Parking Garage level B,-73.564282,45.526126,200-8
237,321 boul. Marcotte,Roberval,QC,G8H 1Z4,,-72.22299,48.502897,200-9
238,1550 Princess St,Kingston,ON,K7M 9E3,,-76.536514,44.252328,200-9
239,110 Place D'Orleans Dr,Ottawa,ON,K1C 2L9,In covered parking near bank of Montreal,-75.515791,45.478305,200-9
240,209 Main St,Parrsboro,NS,B0M 1S0,,-64.04282,45.65382,200-8
241,271 Glasgow St,New Glasgow,NS,B2H 5C2,,-62.646618,45.587565,200-9
242,14 Dock St,Shelburne,NS,B0T 1W0,Located on east side of service building at corner,-65.323661,43.75999,200-8
243,850 Brant St,Burlington,ON,L7R 2J5,,-79.812197,43.334676,200-9
244,2386 Eagle St N,Cambridge,ON,N3H 4R7,,-80.332794,43.40784,200-9
245,6503 Sparrow Dr,Leduc,AB,T9E 7C7,,-113.545447,53.280251,200-9
246,10 Broadway Blvd,Sherwood Park,AB,T8H 2A2,,-113.319101,53.5449,200-8
247,7690 110th Ave NW,Calgary,AB,T3R 1R8,,-114.19546,51.153652,200-9
248,710 boul. Charest O,Québec City,QC,G1N 2C1,,-71.242671,46.80528,200-9
249,1 rue Monseigneur-Blanche,Sept-Iles,QC,G4R 5P3,,-66.383225,50.198186,200-9
250,401 Ch de la Pointe-Noire,Sept-Iles,QC,G4R 4L4,,-66.455541,50.155189,200-9
251,38 avenue du Pont O,Saint-Martin,QC,G0M 1B0,,-70.666802,45.95967,200-9
252,4355 Mathissi Pl,Burnaby,BC,V5G 4S8,,-123.004204,49.246145,200-9
253,2710 Lougheed Hwy,Port Coquitlam,BC,V3B 6P2,,-122.788224,49.27199,200-9
254,1899 Albemarle St,Halifax,NS,B3J 4A9,On Level P5 South,-63.577187,44.649953,200-9
255,8 Av Cabot,Baie-Comeau,QC,G4Z 1L8,,-68.14146976,49.21929288,GPS
256,141 Route Haldimand,Gaspe,QC,G4X 2J6,,-64.4136889,48.783582,GPS
257,10 boul. Cartier,Riviere-du-Loup,QC,G5R 3Y7,,-69.55036693,47.86115444,GPS
258,5600 rue Frontenac,Lac-Megantic,QC,G6B 1H5,,-70.881108,45.573531,200-8
259,210 Av Leonidas S,Rimouski,QC,G5L 2T2,One port is located on the left side of the building close to the garage. The other port is on the front of the building.,-68.507282,48.461267,200-9
260,375 boul. Rideau,Rouyn-Noranda,QC,J9X 5Y7,,-79.045223,48.245541,200-9
261,8 rue Saint-Antoine,Quebec,QC,G1K 4C9,,-71.202118,46.814569,200-9
262,2180 rue des Gouverneurs,Rimouski,QC,G5L 7P3,,-68.521259,48.455692,200-9
263,2330 Huron Church Rd,Windsor,ON,N9E 3S6,,-83.047966,42.273169,200-9
264,1600 rue Cyrille-Duquet,Québec,QC,G1N 2E5,,-71.265334,46.796615,200-9
265,2145 rue Frank-Carrel,Quebec,QC,G1N 2G2,,-71.277558,46.794686,200-9
266,8686 boul. Newman,Montreal,QC,H8N 1Y5,,-73.6333141,45.43063685,GPS
267,500 Av Daignault,Chandler,QC,G0C 1K0,,-64.671677,48.352546,200-9
268,1267 Dundas St,Woodstock,ON,N4S 1C4,One unit inside; one unit outside,-80.716514,43.136142,200-9
269,2045 Mer Bleue Rd,Ottawa,ON,K4A 3T9,,-75.502822,45.452673,200-8
270,583 Colby Dr,Waterloo,ON,N2V 1A1,,-80.538741,43.500225,200-9
271,10200 Route de Preissac,Preissac,QC,J0Y 1C0,,-78.44169117,48.24846714,GPS
272,43 Eastern Ave,Toronto,ON,M5A 1H1,One unit outside; five units inside,-79.360063,43.652671,200-9
273,9010 156th St NW,Edmonton,AB,T5R 5X7,East side of the building,-113.590729,53.523582,200-9
274,18415 127 St NW,Edmonton,AB,T6V 1B1,Located in staff parking lot,-113.5388692,53.64533024,GPS
275,40 rue Dontigny,St-Anne-des-Monts,QC,G4V 2G7,,-66.487594,49.128429,200-9
276,530 boul. Perron,Maria,QC,G0C 1Y0,,-65.980999,48.175839,200-9
277,521 5e Ave,Grandes-Piles,QC,G0X 1H0,,-72.723592,46.685883,200-9
278,595 Rte 131,Notre-Dame-des-Prairies,QC,J6E 0M1,,-73.420024,46.065791,200-9
279,700 boul. Forest,Val-d'Or,QC,J9P 2L3,,-77.788291,48.098701,200-9
280,122 Bales Dr E,Newmarket,ON,L3Y 4X1,,-79.39530234,44.07562651,GPS
281,24 Industry St,Aurora,ON,L4G 1X7,,-79.456773,43.9997,200-9
282,15250 104th Ave,Surrey,BC,V3R 6N8,,-122.798987,49.191303,200-9
283,188 Route 204,Sainte-Justine,QC,G0R 1Y0,,-70.353122,46.40597,200-9
284,575 Harvie Settlement Rd,Orillia,ON,L3V 6H2,,-79.448777,44.596797,200-9
285,450 boul. de Quen,Alma,QC,G8B 4G7,,-71.64649427,48.55920732,GPS
286,949 boul. Saint Joseph,Gatineau,QC,J8Z 1S8,,-75.739547,45.466292,200-9
287,10010 12th Ave SW,Edmonton,AB,T6X 0P9,,-113.487463,53.422857,200-8
