Station Name,Street Address,Intersection Directions,City,State,ZIP,Station Phone,Extension/Second Number,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,EV Connector Types,Access Code,Access Detail Code,EV Pricing,EV On-Site Renewable Source,Restricted Access,Maximum Vehicle Class,EV Workplace Charging
TJ Scott’s Place,#99-1416 Rabbit Drive,,Richmond,BC,V4M 0E1,833-621-0770,,,,,1,,PLUGEV,https://www.plugev.com,GPS,49.046207,-123.105776,2026-06-29,455649,J1772,public,,Price Information not available,,0,,0
Pembroke Waterfront,0 Alexander St,,Pembroke,ON,K8A 4L8,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,45.827019,-77.118324,2026-06-29,170009,J1772,public,,Price Information not available,,0,,0
The Corp of the City of Windsor,0 Lincoln Rd,,Windsor,ON,N9A 4K9,,,24 hours daily,,,2,,Non-Networked,,GPS,42.310769,-83.0156361,2025-04-09,250357,J1772,public,,Price Information not available,,0,LD,0
The Voyageur's Lodge and Cookhouse - Tesla Destination,Highway 17,,Batchawana Bay,ON,P0S,877-798-3752,,,,,3,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,46.946379,-84.575779,2024-07-01,359658,TESLA,public,,Price Information not available,,,,0
Parc des Synergies - Rue Langevin,0 rue Langevin (En face de la bibliothèque),,Saint-Boniface,QC,G0X 2L0,855-999-8378,,,,,1,,Circuit électrique,https://lecircuitelectrique.com,GPS,46.501214,-72.830371,2026-06-29,305697,J1772,public,,Price Information not available,,0,,0
Cowansville - Stationnement Mccrum,0 rue Ste-Thérèse,,Cowansville,QC,J2K 1R8,855-999-8378,,,,,2,,Circuit électrique,https://lecircuitelectrique.com,GPS,45.204784,-72.74768,2026-06-29,305163,J1772,public,,Price Information not available,,0,,0
Montreal,000 Boul. Louis-Hyppolyte Lafontaine,,Montréal,QC,H1J 2E4,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,45.607896,-73.574689,2026-06-29,199388,J1772,public,,Price Information not available,,0,,0
East Garafraxa Township Office,065371 County Road 3,,East Garafraxa,ON,L9W 7J8,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,43.904939,-80.149952,2026-06-29,201431,J1772,public,,Price Information not available,,0,,0
Upper Hotsprings - Banff National Park - Tesla Destination,1  Mountain Ave,,Banff,AB,T1L 1K2,877-798-3752,,,,,6,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,51.149211,-115.558565,2024-07-01,250931,J1772 TESLA,public,,Price Information not available,,,,0
"Creston, BC - Tesla Supercharger",1 1809 BC-3A,,Creston,BC,V0B 1G8,877-798-3752,,24 hours daily. NACS partner enabled.,,,,6,Tesla,https://www.tesla.com/supercharger,GPS,49.119785,-116.52486,2026-06-18,221866,TESLA,public,,Price Information not available,,0,LD,1
City of New Westminster - Queens Park,1 3rd Ave,,New Westminster,BC,V3L 0A9,888-356-8911,,24 hours daily,,,,2,FLO,https://www.flo.com,GPS,49.21405,-122.90482,2026-06-29,155558,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
STACKT STACKT,1 A Tecumseth St.,,Toronto,ON,M5V 3H7,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,43.640783,-79.40405,2026-06-29,400666,J1772,public,,Price Information not available,,0,,0
RL Énergies,1 Acokan,,Wemotaci,QC,G0X 3R0,,,24 hours daily,,,4,,Non-Networked,,GPS,47.90223965,-73.78772035,2026-02-13,255016,J1772,public,,Price Information not available,,0,LD,0
Saint-Robert - Salle communautaire,1 Aggée-Pelletier,,Saint-Robert,QC,J0G 1S0,888-356-8911,,24 hours daily,,,1,,FLO,https://www.flo.com,GPS,45.971554,-72.999662,2026-06-29,212733,J1772,public,,Price Information not available,,0,,0
HYDRO DEER LAKE UF2,1 Airport Road,,Deer Lake,NL,A8A 1A4,888-758-4389,,24 hours daily,,,,2,ChargePoint Network,https://www.chargepoint.com,GPS,49.209732,-57.401962,2026-06-29,455957,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
Société des casinos - Casino de Montréal - Stationnement P4,1 avenue du Casino,,Montréal,QC,H3C 4W7,855-999-8378,,,,,6,,Circuit électrique,https://lecircuitelectrique.com,GPS,45.50621545,-73.52566344,2026-06-29,305855,J1772,public,,Price Information not available,,0,,0
Société des casinos - Casino de Montréal - Stationnement P3,1 avenue du Casino,,Montréal,QC,H3C 4W7,855-999-8378,,,,,6,,Circuit électrique,https://lecircuitelectrique.com,GPS,45.506227,-73.525698,2026-06-29,405612,J1772,public,,Price Information not available,,0,,0
1 Mont-Royal Est,1 Avenue du Mont-Royal E,,Montréal,QC,H2T 1N4,855-999-8378,,,,,2,,Circuit électrique,https://lecircuitelectrique.com,GPS,45.520262,-73.586551,2026-06-29,304397,J1772,public,,Price Information not available,,0,,0
MNBAQ - 179 Grande-Allée Ouest,1 Avenue Wolfe-Montcalm,,Québec,QC,G1R 5H3,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,46.800062,-71.224249,2026-06-29,168340,J1772,public,,Price Information not available,,0,,0
CAMBRIAN 09-01,1 Barry Downe Rd,Parking Lot 9,Greater Sudbury,ON,P3A 6B9,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,46.526392,-80.940482,2026-06-29,250675,J1772,public,,Price Information not available,,0,,0
Sunsaver 4,1 Baseline Rd W,,London,ON,N6J 2N1,,,24 hours daily,,,2,,Non-Networked,,GPS,42.9592692,-81.2632253,2025-03-07,386633,J1772,public,,Price Information not available,,0,LD,0
"Concord, ON - Tesla Supercharger",1 Bass Pro Mills Drive,,Concord,ON,L4K 5W4,877-798-3752,,24 hours daily. Open to Teslas only.,,,,20,Tesla,https://www.tesla.com/supercharger,200-9,43.827301,-79.538835,2026-06-18,122340,TESLA,public,,Price Information not available,,0,,1
NORTHCOAST HALL 1,1 Beach Road,,Sandspit,BC,V0T 1T0,888-758-4389,,24 hours daily,,,1,,ChargePoint Network,https://www.chargepoint.com,GPS,53.24172,-131.83046,2026-06-29,252110,J1772,public,,Price Information not available,,0,,0
Halifax Stanfield International Airport,1 Bell Blvd,Second floor of the parkade,Enfield,NS,B2T 1K2,902-873-4422,,24 hours daily,,,2,,Non-Networked,,200-9,44.886339,-63.514754,2026-03-30,201705,J1772,public,,Free; pay lot,,0,LD,0
Halifax International Airport Authority,1 Bell Blvd (Combined Services Complex),,Goffs,NS,B2T 1E4,,,,,,,1,Non-Networked,,GPS,44.88727449,-63.51664052,2023-12-13,322046,J1772COMBO,private,,Price Information not available,,,LD,0
SWTCH Energy,1 Bloor St E,,Toronto,ON,M4W 0A8,,,24 hours daily,,,1,,SWTCH,https://swtchenergy.com,GPS,43.67020035,-79.38619995,2025-11-13,435792,J1772,public,,Free,,0,LD,0
ELGIN COUNTY BOBIER VILLA,1 Bobier Ln,Near maintenance shop,Dutton,ON,N0L 1J0,888-758-4389,,24 hours daily,,,1,,ChargePoint Network,https://www.chargepoint.com,GPS,42.667065,-81.513145,2026-06-29,232389,J1772,public,,Price Information not available,,0,,0
FLO - Cadillac Fairview - Promenades St-Bruno,1 boul. Des Promenades,,St-Bruno-de-Montarville,QC,J3V 5J5,888-356-8911,,24 hours daily,,,2,1,FLO,https://www.flo.com,GPS,45.504393,-73.379501,2026-06-29,129707,CHADEMO J1772 J1772COMBO,public,,Price Information not available,,0,,0
Alcoa Deschambault Smelter,1 boul. des Sources,,Deschambault,QC,G0A 1S0,418-286-5287,,For employee use only,,,4,,Non-Networked,,200-9,46.692556,-71.945904,2022-11-09,85013,J1772,private,,Free,,,HD,1
Boucherville,1 boulevard de Mortagne,,Boucherville,QC,J4B 5K5,888-356-8911,,24 hours daily,,,1,,FLO,https://www.flo.com,GPS,45.569736,-73.450936,2026-06-29,197794,J1772,public,,Price Information not available,,0,,0
Société des casinos - Casino du Lac-Leamy,1 boulevard du Casino,,Gatineau,QC,J8Y 6W3,855-999-8378,,,,,6,,Circuit électrique,https://lecircuitelectrique.com,GPS,45.447472,-75.725022,2026-06-29,305856,J1772,public,,Price Information not available,,0,,0
Quality Inn & Suites Victoriaville - Tesla Destination,1 Boulvard Arthabaska Est,,Victoriaville,QC,G6T 0S4,877-798-3752,,,,,2,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,46.074389,-71.933685,2024-07-01,122541,J1772 TESLA,public,,Price Information not available,,,,0
ALEXANDER STATION 1,1 Bouvier Trail,,St-Georges,MB,R0E 1V0,888-758-4389,,24 hours daily,,,1,,ChargePoint Network,https://www.chargepoint.com,GPS,50.533686,-96.15166,2026-06-29,232269,J1772,public,,Price Information not available,,0,,0
Newfoundland And Labrador Hydro,1 Camp Boggy Rd,,Milltown,NL,A0H 1R0,,,For fleet use only,,,2,,Non-Networked,,GPS,47.9039725,-55.768167,2025-08-12,401959,J1772,private,,Price Information not available,,,LD,0
BC Hydro - McLeod Lake,1 Carp Lake Rd,,McLeod Lake,BC,V0J 2G0,866-338-3369,,24 hours daily,,,,2,BCHYDRO,https://electricvehicles.bchydro.com/charge/public-charging/our-fast-charging-network,GPS,54.9852,-123.05,2026-06-29,236077,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
Kananaskis Mountain Lodge,1 Centennial Dr,Located in underground parking lot,Kananaskis,AB,T0L 2H0,,,24 hours daily; for guest use only or with parking fee,,,1,,Non-Networked,,GPS,50.91809835,-115.1463782,2024-11-06,83621,J1772,public,,Free,,1,LD,0
Paquet Mitsubishi,1 Chemin des Iles,,Levis,QC,G6W 8B6,,,24 hours daily; for dealership use only,,,4,,Non-Networked,,200-9,46.767966,-71.199815,2026-03-12,84421,J1772,private,CALL,Price Information not available,,,HD,0
EXTERIEURAVANT STATION1,1 Chemin des Îles,Parking Lot,Lévis,QC,G6W 8B6,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,46.768071,-71.199881,2026-06-29,162945,J1772,public,,Price Information not available,,0,,0
Camping Biencourt,1 Chemin du Camping,,Biencourt,QC,G0K 1T0,855-999-8378,,,,,2,,Circuit électrique,https://lecircuitelectrique.com,GPS,47.981821,-68.537131,2026-06-29,322361,J1772,public,,Price Information not available,,0,,0
Street Parking,1 Chemin du Quai,,St-Jean-de-l'Île-d'Orléans,QC,G0A 3W0,418-829-2206,,24 hours daily,,,1,,Non-Networked,,200-9,46.916467,-70.896742,2026-03-30,83317,J1772,public,CREDIT_CARD_ALWAYS,Free,,0,LD,0
Plage Major,1 Chemin Lac des Sables,,Sainte-Agathe-des-Monts,QC,J8C 2Z7,855-999-8378,,,,,4,,Circuit électrique,https://lecircuitelectrique.com,GPS,46.032088,-74.288119,2026-06-29,323398,J1772,public,,Price Information not available,,0,,0
Municipal Office,1 Church Street,,Truro,NS,B2N 3Z5,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,45.365739,-63.27564,2026-06-29,257116,J1772,public,,Price Information not available,,0,,0
SW SMALL LOT STATION1-GW,1 City Centre Dr,,Mississauga,ON,L5B 1M2,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,43.595851,-79.640305,2026-06-29,163155,J1772,public,,Price Information not available,,0,,0
First Capital Asset Management LP,1 Clair Rd W,,Guelph,ON,N1G 0A8,,,24 hours daily,,,2,,Non-Networked,,GPS,43.4993,-80.19111,2025-10-13,209319,J1772,public,,Price Information not available,,0,LD,0
SONCOGROUP B35B36,1 Clift's - Baird's Cove,Located on Level B of AP Parking Garage,St. John's,NL,A1C 1B4,888-758-4389,,24 hours daily,A D Debit M V,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,47.563958,-52.706294,2026-06-29,235454,J1772,public,,Price Information not available,,0,,0
SONCOGROUP B37B38,1 Clift's - Baird's Cove,Located on B Level of AP Parking Garage,St. John's,NL,A1C 1B4,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,47.563793,-52.70644,2026-06-29,235455,J1772,public,,Price Information not available,,0,,0
1 COLE EV 1,1 Cole St,,Toronto,ON,M5A 4M2,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,43.660024,-79.365864,2026-06-29,121278,J1772,public,,Price Information not available,,0,,0
Association of Alberta Municipalities,1 Columbia Ave W,,Devon,AB,T9G 1A1,800-987-8300,,24 hours daily,,,4,,Non-Networked,,GPS,53.36336059,-113.7317253,2026-01-14,384953,J1772,public,,Price Information not available,,0,LD,0
Aurora Community Centre,1 Community Centre Lane,,Aurora,ON,L4G 7B1,800-301-1950,,,,,2,,IVY,https://ivycharge.com,GPS,44.004767,-79.471157,2026-06-29,455061,J1772,public,,Price Information not available,,0,,0
Aurora Community Centre,1 Community Centre Ln,,Aurora,ON,L4G 7B1,905-841-2371,,24 hours daily,,,2,,Non-Networked,,200-9,44.003984,-79.471971,2026-03-30,83090,J1772,public,,Free,,0,LD,0
Ontario Charging Network,1 Community Centre Ln,,Aurora,ON,L4G 2W3,905-841-2371,,7am-10pm daily,,,2,,Non-Networked,,GPS,44.0046286,-79.4738077,2026-01-14,209409,J1772,public,,Price Information not available,,0,LD,0
Purolator,1 Cuddy Court,,London,ON,N5V 4N4,,,,,,6,,Non-Networked,,200-8,43.0172,-81.154,2025-10-13,422488,J1772,private,,Price Information not available,,,HD,0
Alectra Energy Services - Meridian Centre (1 David S. Howes Way),1 David S. Howes Way,,St. Catharines,ON,L2R 0B3,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,43.156745,-79.243285,2026-06-29,201659,J1772,public,,Price Information not available,,0,,0
Fairmont Chateau Frontenac - Tesla Destination,1 des Carrieres,,Quebec City,QC,G1R 4P5,877-798-3752,,,,,10,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,46.812316,-71.205031,2024-07-01,122537,J1772 TESLA,public,,Price Information not available,,,,0
CANADIAN POTATO STATION 1,1 Dewar Ln,,O'Leary,PE,C0B 1V0,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,46.703568,-64.23488,2026-06-29,303607,J1772,public,,Price Information not available,,0,,0
Days Inn by Wyndham Kingston,1 First Canada Ave,,Kingston,ON,K7K 6W2,888-385-6671,,24 hours daily,,,4,,LOOP,https://loopglobal.com,GPS,44.26288,-76.49636,2026-03-12,84867,J1772,public,CREDIT_CARD_ALWAYS,$1 activation fee; $0.49 per kWh,,0,LD,0
Centre for Sustainable technologies building - A Building parking lot,1 Georgian Drive,,Barrie,ON,L4M 3X9,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,44.411049,-79.667217,2026-06-29,154189,J1772,public,,Price Information not available,,0,,0
Advanced Technology Centre building - N Building Parking Lot,1 Georgian Drive,,Barrie,ON,L4M 3X9,888-356-8911,,24 hours daily,,,4,,FLO,https://www.flo.com,GPS,44.412909,-79.667577,2026-06-29,315894,J1772,public,,Price Information not available,,0,,0
Barber Motors 1963 LTD - Weyburn SK - Customer Parking,1 Government Road,,Weyburn,SK,S4H 0X6,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,49.660887,-103.858789,2026-06-29,254136,J1772,public,,Price Information not available,,0,,0
Barber Motors 1963 LTD - Weyburn SK - DC,1 Government Road,,Weyburn,SK,S4H 0X6,888-356-8911,,24 hours daily,,,,1,FLO,https://www.flo.com,GPS,49.6608757,-103.859523,2026-06-29,254226,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
Barber Motors 1963 LTD - Weyburn SK - Ultium,1 Government Road,,Weyburn,SK,S4H 0X6,888-356-8911,,24 hours daily,,,3,,FLO,https://www.flo.com,GPS,49.660754,-103.858789,2026-06-29,315936,J1772,public,,Price Information not available,,0,,0
"1 Green Street, St. Clements",1 Green Street,,St. Clements,ON,N0B 2M0,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,43.526972,-80.648944,2026-06-29,211994,J1772,public,,Price Information not available,,0,,0
SWTCH Energy,1 Grosvenor St,,London,ON,N6A 1Y2,844-798-2438,,24 hours daily,A D Debit M V,,2,,SWTCH,https://swtchenergy.com,GPS,42.99792,-81.25916,2026-03-12,345202,J1772,public,,Price Information not available,,0,LD,0
Town of Halton Hills - Town Hall,1 Halton Hills Drive,,Halton Hills,ON,L7G 5G2,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,43.638755,-79.931414,2026-06-29,158540,J1772,public,,Price Information not available,,0,,0
THE POST P6 STALL 64-65,1 Hamilton St,Parkade level 6 Stalls 64/65,Vancouver,BC,V6B 2R4,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,49.28096,-123.113172,2026-06-29,302634,J1772,public,,Price Information not available,,0,,0
THE POST P6 STALL 58-59,1 Hamilton St,Parkade level p6 Stalls 58/59,Vancouver,BC,V6B 2R4,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,49.280986,-123.113151,2026-06-29,302635,J1772,public,,Price Information not available,,0,,0
THE POST P2 STALL101-108,1 Hamilton St,Parkade level P2 Stalls 101/108,Vancouver,BC,V6B 2R4,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,49.280901,-123.113089,2026-06-29,302662,J1772,public,,Price Information not available,,0,,0
THE POST P6 STALL 26-27,1 Hamilton St,Parkade level p6 Stalls 26/27,Vancouver,BC,V6B 2R4,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,49.281032,-123.113155,2026-06-29,302663,J1772,public,,Price Information not available,,0,,0
THE POST P2 STALL232-233,1 Hamilton St,Parkade level P2 Stalls 232/233,Vancouver,BC,V6B 2R4,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,49.280886,-123.113097,2026-06-29,303099,J1772,public,,Price Information not available,,0,,0
THE POST P2 STALL228-229,1 Hamilton St,Parkade level P2 Stalls 228/229,Vancouver,BC,V6B 2R4,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,49.280855,-123.113051,2026-06-29,303100,J1772,public,,Price Information not available,,0,,0
THE POST P6 STALL 62-63,1 Hamilton St,Parkade level p6 Stalls 62/63,Vancouver,BC,V6B 2R4,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,49.28099,-123.113138,2026-06-29,303542,J1772,public,,Price Information not available,,0,,0
THE POST P6 STALL 56-57,1 Hamilton St,Parkade level p6 Stalls 56/57,Vancouver,BC,V6B 2R4,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,49.281033,-123.11314,2026-06-29,303543,J1772,public,,Price Information not available,,0,,0
THE POST P5 STALL 25-26,1 Hamilton St,Parkade level 5 Stalls 25/26,Vancouver,BC,V6B 2R4,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,49.281025,-123.113152,2026-06-29,303544,J1772,public,,Price Information not available,,0,,0
Port Hope Memorial Park,1 Hector St,,Port Hope,ON,L1A 2Y7,800-301-1950,,,,,2,,IVY,https://ivycharge.com,GPS,43.95003,-78.293907,2026-06-29,455063,J1772,public,,Price Information not available,,0,,0
Hollyhock,1 Highfield Rd,,Manson's Landing Cortes Island,BC,V0P 1K0,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,50.034346,-124.977623,2026-06-29,130071,J1772,public,,Price Information not available,,0,,0
Darlington Site INFO,1 Holt Rd S,,Bowmanville,ON,L1C 3Z8,800-301-1950,,,,,1,,IVY,https://ivycharge.com,GPS,43.87086,-78.718472,2026-06-29,416444,J1772,public,,Price Information not available,,0,,0
Darlington Site WTL,1 Holt Rd S,,Bowmanville,ON,L1C 3K2,800-301-1950,,,,,1,,IVY,https://ivycharge.com,GPS,43.87086,-78.718493,2026-06-29,455496,J1772,public,,Price Information not available,,0,,0
Lakeridge Health Osh 1,1 Hospital Court,,Oshawa,ON,L1G 2B9,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,43.9045731,-78.8693979,2026-06-29,260742,J1772,public,,Price Information not available,,0,,0
Lakeridge Health Osh 2,1 Hospital Court,,Oshawa,ON,L1G 2B9,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,43.906716,-78.8703122,2026-06-29,316006,J1772,public,,Price Information not available,,0,,0
PERTH COUNTY COURT HOUSE,1 Huron St,,Stratford,ON,N5A 5S4,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,43.371525,-80.985503,2026-06-29,377465,J1772,public,,Price Information not available,,0,,0
iPlace,1 Industrial Place,,Canmore,AB,T1W 1Y1,888-356-8911,,24 hours daily,,,4,,FLO,https://www.flo.com,GPS,51.0977908,-115.3631418,2026-06-29,372933,J1772,public,,Price Information not available,,0,,0
Best Western - Pembroke Inn,1 International Dr,,Pembroke,ON,K8A 6W5,613-735-0131,,24 hours daily; for client use only,A Cash Debit M V,,1,,Non-Networked,,200-9,45.79871,-77.116359,2025-01-13,82933,J1772,public,,Free,,1,LD,0
Township of Leeds - Tesla Destination,1 Jessie St,,Lansdowne,ON,K0E 1L0,877-798-3752,,,,,1,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,44.408424,-76.022337,2024-07-01,116497,TESLA,public,,Price Information not available,,,,0
Delta Hotels by Marriott Kingston Waterfront - Tesla Destination,1 Johnson St,,Kingston,ON,K7L 5H7,877-798-3752,,,,,1,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,44.228412,-76.480206,2024-07-01,122508,TESLA,public,,Price Information not available,,,,0
Delta Hotels Kingston Waterfront,1 Johnson St,,Kingston,ON,K7L 5H7,855-885-9571,,24 hours daily,,,2,,OpConnect,https://opconnect-ev.com,GPS,44.2285093,-76.4804176,2026-06-29,371482,J1772,public,,Price Information not available,,0,,0
Junction 42 Truck Stop,1 Junction Drive,,Penhold,AB,T0M 1R0,888-356-8911,,24 hours daily,,,,2,FLO,https://www.flo.com,GPS,52.143569,-113.823622,2026-06-29,390651,J1772COMBO,public,,Price Information not available,,0,,0
Juniper Hotel and Bistro,1 Juniper Way,,Banff,AB,T1L 1E1,403-762-2281,,24 hours daily; for client use only,,,1,,Non-Networked,,GPS,51.18780768,-115.5887461,2024-12-10,235397,J1772,public,CREDIT_CARD_ALWAYS,Free,,1,LD,0
One King West Hotel & Residence - Tesla Destination,1 King St W,,Toronto,ON,M5H 1A1,877-798-3752,,,,,2,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.648793,-79.378011,2024-07-01,116549,J1772 TESLA,public,,Price Information not available,,,,0
Mount Pleasant Community Centre - 1 Kingsway,1 Kingsway,,Vancouver,BC,V5T 3H7,833-621-0770,,,,,3,,PLUGEV,https://www.plugev.com,GPS,49.264201,-123.100338,2026-06-29,455525,J1772,public,,Price Information not available,,0,,0
CHARLOTTETOWN WESTROYALTYCOMM,1 Kirkdale Rd,Located in corner of West Royalty Community Centre. Across the road from Capital Honda,Charlottetown,PE,C1E 1R3,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,46.266148,-63.159557,2026-06-29,232445,J1772,public,,Price Information not available,,0,,0
