Station_ID  (PK),Station_name,Station_phone ,Location_ID (FK),Network_ID (FK),Access_code,Access_Detail_code,Access_Day_time,EV_Pricing,Date_last_confirmed,Maximum_Vehicle_Class,Ev_Workplace_charging ,Restricted_access
82994,Motos Illimitees,450-477-4000,10025,4,public,,9am-6pm M-W; 9am-9pm Th-F; 9am-4pm Sat; for client and employee use only,,3/12/2026,LD,TRUE,TRUE
82999,Bibliothèque Oscar Ferland,418-828-2962,10404,10,public,,24 hours daily,Free,3/30/2026,LD,FALSE,FALSE
83005,Metro Plus Fournier,819-376-3028,690,10,public,,8am-10pm daily,Free,10/12/2021,LD,FALSE,FALSE
83016,Pneus Ratte Limoilou,418-529-5378,4957,10,public,,24 hours daily; for client use only,Free,4/10/2020,,TRUE,TRUE
83019,Highland Ford,705-759-5050,2167,10,public,,24 hours daily,Free,2/13/2026,MD,TRUE,TRUE
83021,Homewood Suites by Hilton,519-514-0088,5149,10,public,,24 hours daily; for guest use only,,1/13/2025,LD,FALSE,TRUE
83026,Surgenor Gatineau Chevrolet Cadillac,819-777-2731,1186,10,public,,24 hours daily for clients,$4.50 per hour,11/13/2025,LD,FALSE,TRUE
83035,Bear Street Parkade,403-762-1110,11482,10,public,,24 hours daily,Free,1/14/2026,LD,FALSE,FALSE
83042,"Stationnement de courtoisie, Ville d'Amos",819-732-3254,1694,2,public,,24 hours daily,Free,2/10/2022,LD,FALSE,FALSE
83046,Église Saint-Jean,418-829-2630,3405,12,public,,24 hours daily,Free,12/12/2022,LD,FALSE,FALSE
83048,Restaurant Grec Baie-Jolie,819-377-2511,1371,2,public,,24 hours daily,Free,3/30/2026,LD,FALSE,FALSE
83050,Assiniboine Park Zoo,204-927-6001,3407,1,public,,24 hours daily; for customer use only,Free,7/7/2025,LD,FALSE,TRUE
83053,CAA Manitoba,204-262-6243,7390,5,public,,24 hours daily; for CAA members only,,4/9/2025,LD,FALSE,TRUE
83054,Comfort Inn,204-727-6232,7408,5,public,,24 hours daily; for guest use only,Free,7/7/2025,LD,FALSE,TRUE
83055,Days Inn,204-325-8888,7825,5,public,,24 hours daily; for guest use only,Free,8/12/2025,LD,FALSE,TRUE
83057,Edgewater Recreation,204-367-8483,13253,5,public,,24 hours daily,Free,6/10/2022,LD,FALSE,FALSE
83073,St. Christopher's Hotel,709-695-3500,13570,2,public,,24 hours daily; for guest use only,Free,10/13/2025,LD,FALSE,TRUE
83074,SW Energy,709-466-5411,13388,32,public,,24 hours daily,Free,3/7/2025,LD,FALSE,FALSE
83077,Hickman Chevrolet Buick GMC,709-466-2661,11998,5,public,,24 hours daily; for customers only,Free,9/12/2024,LD,FALSE,TRUE
83078,Hickman Chevrolet Cadillac,709-726-6990,11999,5,public,,8am-6pm M-F; For clients use only,Free,10/12/2023,LD,FALSE,TRUE
83079,Hickman Motors GM,709-256-3906,11989,5,public,CALL,24 hours daily,Free,10/12/2023,LD,FALSE,FALSE
83081,Woodward Auto Group,709-635-4800,12000,5,public,,24 hours daily,Free,12/12/2025,LD,FALSE,TRUE
83082,Riverfront Chalets & Rafting,709-486-0892,12001,5,public,,24 hours daily,Free,6/6/2025,LD,FALSE,FALSE
83083,Riverside Kwick-Way Convenience Store,709-486-9679,9719,4,public,,24 hours daily; for customers only,,9/12/2025,LD,FALSE,TRUE
83084,Around the Sea Rotating Suites & Tours,866-557-8383,2099,7,public,CALL,24 hours daily,Free,3/30/2026,LD,FALSE,FALSE
83088,Holland College,902-888-6448,12688,7,public,,24 hours daily,Free,3/7/2025,LD,FALSE,FALSE
83089,Inn On The Harbour,833-838-8770,3585,2,public,,24 hours daily from Jun-Oct; for guest use only,Free,9/6/2017,,FALSE,TRUE
83090,Aurora Community Centre,905-841-2371,12332,33,public,,24 hours daily,Free,3/30/2026,LD,FALSE,FALSE
83092,Kool Breeze Farms Garden Centre,902-436-1900,8266,5,public,,24 hours daily,,12/12/2025,MD,FALSE,FALSE
83093,Prince Edward Island Preserve Co,902-964-4300,14090,5,public,,24 hours daily,Free,3/30/2026,LD,FALSE,FALSE
83095,Rossignol Winery,902-962-4193,1246,9,public,,9am-5pm daily (May-Oct),Free,4/13/2022,LD,FALSE,FALSE
83096,Summerside City Hall,902-439-5776,111,1,public,,24 hours daily,Free,6/6/2025,LD,FALSE,FALSE
83097,Jeff Smith's County Chevrolet,,9840,2,private,,"7:30am-8pm M-Th, 7:30am-6pm F, 8am-4pm Sat; Service center use only",Free,3/30/2026,LD,FALSE,
83098,The Bottle Houses,902-854-2987,9840,2,public,,24 hours daily,Free,6/6/2025,LD,FALSE,FALSE
83099,The Quality Inn,902-436-2295,740,9,public,,24 hours daily; For guest use only,Free,12/12/2025,LD,FALSE,TRUE
83102,Best Western Plus - Parkway Inn,,2,1,public,,24 hours daily; for customer and guest use only; See front desk for use,Free for guests,3/30/2026,LD,FALSE,FALSE
83103,Boulevard Chevrolet Buick GMC Cadillac,,5971,2,private,CALL,8am-5pm M-F; for client use only,Free,3/30/2026,,FALSE,
83105,Township Chevrolet Buick GMC,,742,9,public,,24 hours daily,Free,6/6/2025,LD,FALSE,FALSE
83108,Wilmot Community Centre,902-432-1281,741,9,public,,24 hours daily,Free,6/6/2025,LD,FALSE,FALSE
83111,Edmond Financial Group,204-478-8500,14879,42,public,,6pm-2am daily,Free,6/6/2025,LD,FALSE,FALSE
83113,Best Western - The Royal Oak Inn,705-721-4848,12856,10,public,,24 hours daily; for guest use only,Free,2/13/2026,LD,FALSE,TRUE
83115,Centre de santé et de services sociaux (CISS) - Rouyn-Noranda,,1930,10,private,GOVERNMENT,24 hours daily,Free,3/30/2026,MD,TRUE,
83116,Fort Whyte Alive,204-989-8355,1930,10,public,,Business hours,Free,6/10/2022,HD,FALSE,FALSE
83117,Hilton Winnipeg Airport Suites,204-783-1700,1930,10,public,,24 hours daily; for guest use only,Free,7/7/2025,LD,FALSE,TRUE
83122,Camping de Carleton-sur-Mer,418-364-3992,1929,10,public,,24 hours daily; available May-October only; two ports are for client use only,Free,2/13/2026,LD,FALSE,FALSE
83123,Salon Boucles d'Amours,,1929,10,public,,24 hours daily; client use only,Free,3/30/2026,LD,TRUE,TRUE
83124,Gus Revenberg Chevrolet Buick GMC,519-979-2800,1931,10,public,CALL,"8am-7pm M-Th, 8am-5pm F, 8am-4 PM Sat; for clients only",Free,4/9/2025,LD,FALSE,TRUE
83129,Garage Travaux Publics,,1931,10,private,GOVERNMENT,Membership card,,2/13/2026,LD,TRUE,
83130,Tru-Nor Truck Centre,705-560-6625 x209,11027,10,public,,24 hours daily,Free,1/12/2024,LD,FALSE,TRUE
83133,Island Lake Conservation Area,519-941-6329,11027,10,public,,8am-6pm daily for park visitors,Free for park visitors,4/9/2025,MD,FALSE,TRUE
83135,Leo Mol Sculpture Garden,204-927-6001,3072,10,public,,24 hours daily,Free,7/7/2025,MD,FALSE,FALSE
83138,Kemptville Bowling Lanes,613-258-3121,3069,10,public,CALL,24 hours daily,Free,2/12/2024,LD,FALSE,FALSE
83145,La Place Rendez-Vous,800-544-9435,3069,10,public,,24 hours daily; for guests only,Free,3/30/2026,LD,FALSE,TRUE
83151,Hopital de Baie-Saint-Paul,4184355150,6231,10,private,GOVERNMENT,Fleet vehicles only,Free,8/3/2021,,TRUE,
83153,Hôpital de La Malbaie,,11003,2,private,GOVERNMENT,Fleet vehicles only,Free,3/30/2026,,FALSE,
83160,Ken Knapp Ford,,521,1,public,CALL,24 hours daily,Free,6/13/2024,LD,FALSE,FALSE
83162,Lake Shore Motors,705-567-9271,14664,10,public,,24 hours daily,,3/30/2026,LD,FALSE,FALSE
83168,Super 8,-1641,14664,10,private,,24 hours daily; for guest use only,Free for guests,6/10/2022,LD,FALSE,
83170,Super 8,-8825,14664,10,private,,24 hours daily; for guest use only,Free,6/10/2022,,FALSE,
83182,Laura Secord Homestead,877-642-7275  905-356-2241,14664,10,public,,24 hours daily,Free,1/12/2023,LD,FALSE,FALSE
83186,LCBO,905-665-3244,5382,1,public,,24 hours daily,Free,10/13/2025,LD,FALSE,FALSE
83191,Robert's Farm Equipment,519-887-6365,5383,1,public,,24 hours daily,Free,2/13/2026,HD,FALSE,FALSE
83192,Caisse Desjardins,418-856-2340,13286,10,public,,24 hours daily,$1 per hour for public; free for employees,9/11/2019,,FALSE,FALSE
83196,Microtel Inn & Suites,613-427-3550,464,1,public,,24 hours daily; guest use only,Free,5/13/2024,LD,FALSE,TRUE
83198,Middlesex Centre Wellness & Recreation Complex,519-601-8022,11617,14,public,,24 hours daily,,2/13/2026,LD,FALSE,FALSE
83199,Middlesex County Public Library,519-294-6244,908,9,public,,24 hours daily,Free,5/13/2024,LD,FALSE,FALSE
83201,Mitchell Cycle,519-348-0490,909,9,public,,24 hours daily,Free,4/5/2023,LD,FALSE,FALSE
83207,Gouvernement Canada,,6072,2,private,,,,2/12/2021,,FALSE,
83208,Centre Jeunesse de l'Estrie,,13585,10,private,,24 hours daily,Free,3/30/2026,LD,FALSE,
83210,Gouvernement Canada,,15304,10,private,,,,2/12/2021,,FALSE,
83212,Centre Local de Services Communautaires de Saint-Jean Port-Joli,,5384,1,private,,24 hours daily; for employees only,,3/30/2026,LD,TRUE,
83213,Centre Integre de Sante et de Services Sociaux de Chaudiere-Appalaches,,5385,1,private,,24 hours daily; for fleet use only,,3/30/2026,LD,FALSE,
83218,Mr. Janitorial Supplies,,5386,1,private,,For client use only,Free,1/13/2025,,TRUE,
83221,Gouvernement Canada,,15350,6,private,,,,2/12/2021,,FALSE,
83223,Gouvernement Canada,,12570,1,private,,,,2/12/2021,,FALSE,
83226,Best Western Plus - Leamington Hotel & Conference Centre,519-326-8646,2559,10,public,,24 hours daily; for customer use only; available for non-customer use with permission,Free,4/14/2024,MD,FALSE,TRUE
83231,Pub St-Alex,418-970-0506,10685,4,public,,24 hours daily,Free,3/12/2026,LD,FALSE,FALSE
83251,Provigo Alimentation Louis Grenier Inc,418-492-1034,10804,4,public,CREDIT_CARD_ALWAYS,24 hours daily,$1 per hour; free for employees,3/30/2026,LD,TRUE,FALSE
83257,Queenston Chevrolet,,10769,4,private,,Dealership business hours,,2/13/2026,LD,FALSE,
83258,Quetico Inn,807-597-2766,9467,2,public,CALL,24 hours daily; for guest use only,Free for guests,3/30/2026,LD,FALSE,FALSE
83264,Red Dog Inn,807-825-3286,6561,2,public,,24 hours daily; for guest use only,Free,2/13/2026,LD,FALSE,TRUE
83267,Green Sun Rising Inc.,519-946-0408,9415,10,public,,8am-4pm M-F,Free,3/15/2024,LD,FALSE,FALSE
83271,Riotel Bonaventure,418-534-3336,9416,10,public,,24 hours daily from May-Oct,Free,4/12/2021,,FALSE,FALSE
83277,Science North,705-522-3701,7391,5,public,,10am-4pm daily; for visitor use only,Free,3/30/2026,LD,FALSE,TRUE
83280,Societe Immobiliere GP,,6309,2,public,,24 hours daily; for employee use only,,3/30/2026,LD,TRUE,TRUE
83287,C.P.R. Historic Centre,204-748-2440,4556,10,public,,24 hours daily,Free,6/6/2025,LD,FALSE,FALSE
83289,Visions Kitchen Showcase,204-668-9896,8888,2,public,CALL,7:30am-4:30pm M-F,Free,9/6/2017,,FALSE,FALSE
83290,Waverley Mitsubishi,,6536,10,private,,9am-9pm Mon-Tue; 9am-6pm Wed-Sat; for client use only,Free,2/13/2026,LD,FALSE,
83292,Niagara Parks Commission,905-356-2241,6536,10,public,,24 hours daily,Free,4/5/2023,MD,FALSE,FALSE
83298,La Coop St-Pamphile,418-356-3373,6413,2,public,,24 hours daily,$1 per hour,4/10/2020,,TRUE,FALSE
83300,St. Lawrence College,613-345-0660,6165,4,public,,24 hours daily,Free,4/12/2021,,FALSE,FALSE
83301,Entegrus Inc,,743,9,private,,,,1/12/2024,,TRUE,
83304,L’Auberge Motel Cap Martin,418-856-4450,13645,10,public,CREDIT_CARD_ALWAYS,24 hours daily; client use only,Free; $1 per hour parking fee,3/30/2026,LD,FALSE,TRUE
83307,Taps on Queen Brewhouse & Grill,289-477-1010,9554,1,public,,24 hours daily,Free,1/13/2025,LD,FALSE,FALSE
83310,Stratford-Perth Museum,519-393-5311,10545,2,public,,24 hours daily; for visitors only,Free,1/13/2025,LD,TRUE,TRUE
83312,Guillevin International,819-797-0442,8061,5,public,KEY_ALWAYS,24 hours daily; for client use only,,3/30/2026,LD,TRUE,TRUE
83315,The Old Mill,519-523-4595,3480,12,public,,"10am-5pm M-Sat, 12pm-4pm Sun",Free,3/30/2026,LD,FALSE,FALSE
83317,Street Parking,418-829-2206,13113,2,public,CREDIT_CARD_ALWAYS,24 hours daily,Free,3/30/2026,LD,FALSE,FALSE
83320,Timmins Nissan,,1993,2,private,CALL,24 hours daily; for client use only,,4/9/2025,LD,FALSE,
83321,Theatre des Eskers,819-732-9233,7394,5,public,,24 hours daily,Free,3/30/2026,LD,FALSE,FALSE
83322,Toronto Urban Properties,416-391-3232,510,1,public,,24 hours daily; parking fee required,Free,1/6/2020,,FALSE,FALSE
83323,Hotel de Ville de Nicolet,,12690,10,public,,24 hours daily,Free,3/30/2026,,TRUE,FALSE
83324,Hotel de Ville de Nicolet,,11487,10,public,CREDIT_CARD_ALWAYS,24 hours daily,Free for employees,3/30/2026,MD,TRUE,TRUE
83326,Town Hall,519-294-6244,3976,2,public,,8am-5pm daily,Free,3/12/2026,LD,FALSE,FALSE
83329,Travelodge at the Falls,905-357-2200,7414,5,public,,24 hours daily,$10 parking fee required for non-guests,2/13/2026,LD,FALSE,FALSE
83332,Hotel Best Western Plus - Edmundston,506-739-0000,7415,5,public,,24 hours daily; customers and guests only,Free,9/12/2024,LD,FALSE,TRUE
83334,True North Chevrolet Cadillac,888-472-1210,12026,5,public,CALL,Dealership business hours,Free,2/13/2026,LD,FALSE,TRUE
83336,Caraquet Visitor Information Centre,506-726-2727,14086,2,public,,24 hours daily,Free,6/6/2025,LD,FALSE,FALSE
83337,Centre Touristique De L'Ancienne Gare,506-235-3282,7882,5,public,,24 hours daily,Free,2/13/2026,LD,FALSE,FALSE
83339,Valhalla Inn,807-577-1121,285,1,public,,24 hours daily; for guests use only,,2/13/2026,LD,FALSE,TRUE
83341,City of Bathurst,506-548-0400,9250,2,public,,24 hours daily,Free,9/12/2024,LD,FALSE,FALSE
83353,Guillevin International,819-825-0142,473,1,public,KEY_ALWAYS,8am-12pm and 1pm-5pm M-F; for guest use only,$1.25 per hour for clients; Free for employees,3/12/2026,LD,TRUE,TRUE
83360,Auberge sous les Arbres,418-360-0060,5599,9,public,,24 hours daily; for guest use only,Free,10/13/2025,MD,FALSE,TRUE
83362,Westway Motel - Cochrane,705-272-4285,1971,9,public,,7:30am-11pm daily,Free for guests; $10 per session for nonguests,4/14/2024,LD,FALSE,FALSE
83367,Bureau d'Accueil Touristique de l'Ile d'Orleans,418-828-9411,13105,5,public,,24 hours daily,Free,4/5/2023,LD,FALSE,FALSE
83370,Dolbeau Automobiles,418-276-0580,3645,1,public,,24 hours daily,Free,2/10/2022,LD,FALSE,FALSE
83372,Casse-Croute Chez Dany,418-935-3904,8533,5,public,,"24 hours daily; seasonal restaurant, may be unavailable in winter",Free,12/12/2022,LD,FALSE,FALSE
83373,La cache à Maxime,418-387-5060,11288,5,public,,24 hours daily; for client use only,Free,3/12/2026,LD,FALSE,TRUE
83377,Desharnais Pneus & Mecanique,418-628-0203,6452,2,public,,24 hours daily; for client use only,Free,3/12/2026,MD,TRUE,TRUE
83380,Valcartier Vacation Village,418 844-2200,8656,5,public,,24 hours daily; for guest use only,Free,12/12/2022,LD,FALSE,TRUE
83381,Windfall Ecology Centre,,3440,2,private,,24 hours daily; guest use only,Free,6/13/2024,LD,FALSE,
83383,Vallee du Parc,819-538-1639,3434,2,public,,24 hours daily,,3/30/2026,LD,TRUE,FALSE
83388,Ville de la Tuque,819-523-8200,3433,2,public,,24 hours daily,Free,10/12/2023,MD,FALSE,FALSE
83390,Wingham Museum,519-357-1096,8080,5,public,,24 hours daily,Free,11/8/2019,,FALSE,FALSE
83391,Hotel de Ville,,11178,5,private,GOVERNMENT,For municipal vehicles only,Free,3/30/2026,MD,FALSE,
83399,York Parkade,905-540-6000,5720,2,public,,7am-10:30pm daily,Free,12/9/2019,,FALSE,FALSE
83401,Ecole Secondaire Catholique Franco-Cite,,5720,2,private,LIMITED_HOURS,8am-4pm M-F,Free,6/13/2024,LD,FALSE,
83405,Clarence St Parking Garage,613-580-2400,15000,12,public,,24 hours daily,Free; pay lot,3/12/2026,LD,FALSE,FALSE
83406,AC Motors Ltd NAPA,306-567-3088,13341,12,public,,24 hours daily,Free,6/6/2025,LD,FALSE,FALSE
83408,Confederation Inn,306-384-2882,1697,2,public,,24 hours daily; for guest use only,Free,6/10/2022,LD,FALSE,TRUE
83409,Delta Bessborough,306-244-5521,9837,8,public,,24 hours daily; for guest use only,$15 overnight,8/12/2025,LD,FALSE,TRUE
83410,Royal Hair Co,519-919-7272,3656,1,public,CALL,24 hours daily,Free,2/13/2026,LD,FALSE,FALSE
83415,Canso Public Library,902-366-2955,7396,5,public,,24 hours daily,Free,4/5/2023,LD,FALSE,FALSE
83416,Claymore Inn and Suites,902-863-1050,7397,5,public,LIMITED_HOURS,Daytime hours only; For hotel and restaurant guests only,Free,2/13/2026,LD,FALSE,TRUE
83419,Digby Town Hall,902-245-4769,6551,13,public,,24 hours daily,Free,3/30/2026,LD,FALSE,FALSE
83423,Nova Scotia Community College - Waterfront Campus,902-491-1100 x3,3965,19,public,,24 hours daily; parking pass required,,,,FALSE,FALSE
83427,Central Huron,519-482-3997,12264,33,public,,24 hours daily,Free,4/9/2025,LD,FALSE,FALSE
83432,IKEA,844-835-2348  844-835-2348,5656,10,public,,24 hours daily,Free,12/12/2022,LD,FALSE,FALSE
83434,Tru-Nor Truck Centre,705-268-6199,5217,10,public,CALL,24 hours daily,Free,4/9/2025,LD,FALSE,FALSE
83443,Lally Chevrolet,888-887-9696,6599,1,public,LIMITED_HOURS,Dealership business hours,Free,2/13/2026,LD,FALSE,TRUE
83446,Kal Tire,306-773-0612,5215,10,public,,24 hours daily,Free,6/7/2021,,FALSE,FALSE
83448,Quality Inn & Suites Moose Jaw,844-201-2765,5215,10,private,,24 hours daily; for guest use only,Free,6/10/2022,MD,FALSE,
83450,Sherwood Chevrolet,306-374-6330,6013,10,public,CALL,Dealership business hours; for client use only,Free,6/10/2022,LD,FALSE,TRUE
83456,Le Moulin Wakefield Hotel et Spa,819-459-1838,12806,10,public,,24 hours daily; for guest use only,Free,3/30/2026,LD,FALSE,TRUE
83491,Fulford Community Hall,250-653-4415,12806,10,public,,24 hours daily,Free; donations accepted,3/12/2026,LD,FALSE,FALSE
83515,Alberco,780-267-5802,12806,10,public,,24 hours daily,Free,3/30/2026,LD,FALSE,FALSE
83516,Banff Park Lodge,403-760-3256,8,1,public,,24 hours daily; for guest use only,Free,2/13/2026,LD,FALSE,TRUE
83517,Best Western Plus,,5746,10,private,,24 hours daily; for guest use only,Free,12/13/2021,LD,FALSE,
83518,Best Western Premier - Denham Inn & Suites,780-986-2241,7728,5,public,,24 hours daily; for guest use only,Free,2/13/2026,LD,FALSE,TRUE
83521,BBE Expediting Ltd,,7935,5,private,,,,12/12/2025,LD,TRUE,
83527,City of Merritt - City Hall,250-378-4224,2169,10,public,,24 hours daily,Free,7/7/2025,LD,FALSE,FALSE
83529,Bell,,2169,10,private,LIMITED_HOURS,For employee and technician use only,Free,12/12/2022,MD,TRUE,
83532,Halifax Stanfield International Airport,902-873-4422,6043,2,public,,24 hours daily,Free; pay lot,3/30/2026,LD,FALSE,FALSE
83533,University of Guelph - Lot 30,519-824-4120 x52245,54,1,public,,24 hours daily,$3.50 parking fee required,3/12/2026,LD,FALSE,FALSE
83534,University of Guelph - Lot 31,519-824-4120,12262,33,public,,24 hours daily; maximum session time of 4 hours,Free; permit or paybyphone from 8am-5pm M-F,2/13/2026,LD,FALSE,FALSE
83536,Just Us! Coffee,902-697-4225,145,1,public,,24 hours daily,Free,2/13/2026,LD,FALSE,FALSE
83537,Kentville Centennial Arena,902-679-2542,1685,2,public,,24 hours daily,Free,4/9/2025,LD,TRUE,FALSE
83539,Laurie's Motor Inn,902-224-2400,9615,2,public,,8am-8pm daily,Free for guests; $15 flat fee for non-guests,3/12/2026,LD,FALSE,FALSE
83540,Audi - Barrie,705-431-9393,7403,5,public,,24 hours daily,Free,2/10/2022,LD,FALSE,FALSE
83543,Les Produits Gilbert,418-275-5041,7416,5,public,,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,Free,4/9/2025,LD,FALSE,FALSE
83545,Membertou Market Shell,902-539-8401,7417,5,public,,24 hours daily,Free,8/10/2023,LD,FALSE,FALSE
83546,Crowne Plaza Lord Beaverbrook,506-455-3371,12286,33,public,,24 hours daily; for guest use only,Parking fee is $16.50 per night,6/6/2025,LD,FALSE,TRUE
83547,Delta Beausejour Hotel,506-854-4344,11402,7,public,,24 hours daily; guests only,Free,6/6/2025,LD,FALSE,TRUE
83550,North Shore Kia,,14221,18,public,CALL,Dealership business hours,Free,4/13/2022,,TRUE,FALSE
83552,Bolton GM,,10147,2,public,,24 hours daily; for client use only,Free,6/13/2024,LD,FALSE,TRUE
83561,Aitken Chevrolet Buick GMC,866-406-6018,3717,2,public,,9am-5pm daily; for customer use only,Free,2/13/2026,LD,FALSE,TRUE
83562,Edmundston Madawaska Tourism,866-737-6766,3717,2,public,,24 hours daily,Free,6/6/2025,MD,FALSE,FALSE
